iPrint,time(d),z(cm),h(cm),th(cm^3/cm^3),Sw(-),C(mg/L),Aaw(cm^2/cm^3),Cs1(mg/g),Cs2(mg/g),Caw1(mg/cm^3),Caw2(mg/cm^3),Ctot(mg/cm^3)
    3, 2.1900000E+03, 5.0000000E+00,-1.4305833E+02, 8.2202261E-02, 2.2897566E-01, 9.0524357E-04, 2.5932477E+02, 5.1963520E-07, 1.1181625E-06, 7.9057044E-07, 1.1597239E-07, 3.6456528E-06
    3, 2.1900000E+03, 1.5000000E+01,-1.3550704E+02, 8.4319574E-02, 2.3487347E-01, 2.4626606E-03, 2.5540169E+02, 1.2411795E-06, 2.6260986E-06, 2.1181102E-06, 3.0619134E-07, 8.9240135E-06
    3, 2.1900000E+03, 2.5000000E+01,-1.3255768E+02, 8.5277260E-02, 2.3754111E-01, 5.1787254E-03, 2.5362723E+02, 2.3696627E-06, 4.9229139E-06, 4.4230313E-06, 6.2640795E-07, 1.7356089E-05
    3, 2.1900000E+03, 3.5000000E+01,-1.3283615E+02, 8.5182684E-02, 2.3727767E-01, 9.4577292E-03, 2.5380247E+02, 4.0017247E-06, 8.1693871E-06, 8.0826551E-06, 1.1182276E-06, 2.9808916E-05
    3, 2.1900000E+03, 4.5000000E+01,-1.3528121E+02, 8.4388385E-02, 2.3506514E-01, 1.5623564E-02, 2.5527419E+02, 6.1930034E-06, 1.2482128E-05, 1.3428121E-05, 1.8171137E-06, 4.6948121E-05
    3, 2.1900000E+03, 5.5000000E+01,-1.3818228E+02, 8.3515134E-02, 2.3263268E-01, 2.4039669E-02, 2.5689221E+02, 9.0099088E-06, 1.7965006E-05, 2.0789727E-05, 2.7574928E-06, 6.9443083E-05
    3, 2.1900000E+03, 6.5000000E+01,-1.3936023E+02, 8.3179553E-02, 2.3169792E-01, 3.5103463E-02, 2.5751399E+02, 1.2524693E-05, 2.4688059E-05, 3.0425859E-05, 3.9685912E-06, 9.7859487E-05
    3, 2.1900000E+03, 7.5000000E+01,-1.3854445E+02, 8.3408140E-02, 2.3233465E-01, 4.9199646E-02, 2.5709045E+02, 1.6800397E-05, 3.2712173E-05, 4.2563907E-05, 5.4764798E-06, 1.3270099E-04
    3, 2.1900000E+03, 8.5000000E+01,-1.3677712E+02, 8.3923279E-02, 2.3376958E-01, 6.6597879E-02, 2.5613597E+02, 2.1863675E-05, 4.2017275E-05, 5.7385609E-05, 7.2941230E-06, 1.7420315E-04
    3, 2.1900000E+03, 9.5000000E+01,-1.3480233E+02, 8.4530019E-02, 2.3545966E-01, 8.7492054E-02, 2.5501177E+02, 2.7722048E-05, 5.2587833E-05, 7.5033454E-05, 9.4305264E-06, 2.2252386E-04
    3, 2.1900000E+03, 1.0500000E+02,-1.3290531E+02, 8.5145490E-02, 2.3717407E-01, 1.1201499E-01, 2.5387139E+02, 3.4370263E-05, 6.4393646E-05, 9.5597117E-05, 1.1888814E-05, 2.7771238E-04
    3, 2.1900000E+03, 1.1500000E+02,-1.3115988E+02, 8.5741664E-02, 2.3883472E-01, 1.4023275E-01, 2.5276676E+02, 4.1789931E-05, 7.7386836E-05, 1.1910430E-04, 1.4666388E-05, 3.3969507E-04
    3, 2.1900000E+03, 1.2500000E+02,-1.2956940E+02, 8.6311210E-02, 2.4042120E-01, 1.7208871E-01, 2.5171147E+02, 4.9936395E-05, 9.1417503E-05, 1.4547595E-04, 1.7742371E-05, 4.0805430E-04
    3, 2.1900000E+03, 1.3500000E+02,-1.2811852E+02, 8.6853717E-02, 2.4193236E-01, 2.0745295E-01, 2.5070628E+02, 5.8753358E-05, 1.0637149E-04, 1.7457182E-04, 2.1094360E-05, 4.8234236E-04
    3, 2.1900000E+03, 1.4500000E+02,-1.2678930E+02, 8.7370803E-02, 2.4337271E-01, 2.4611293E-01, 2.4975433E+02, 6.8170986E-05, 1.2211751E-04, 2.0618991E-04, 2.4691759E-05, 5.6198414E-04
    3, 2.1900000E+03, 1.5500000E+02,-1.2556564E+02, 8.7864504E-02, 2.4474792E-01, 2.8769068E-01, 2.4893783E+02, 7.8086878E-05, 1.3847818E-04, 2.4007513E-04, 2.8495255E-05, 6.4619953E-04
    3, 2.1900000E+03, 1.6500000E+02,-1.2443395E+02, 8.8336764E-02, 2.4606341E-01, 3.3178785E-01, 2.4815679E+02, 8.8401826E-05, 1.5520660E-04, 2.7581019E-04, 3.2449141E-05, 7.3391931E-04
    3, 2.1900000E+03, 1.7500000E+02,-1.2338298E+02, 8.8789327E-02, 2.4732403E-01, 3.7787533E-01, 2.4740833E+02, 9.8993311E-05, 1.7211747E-04, 3.1294362E-04, 3.6498191E-05, 8.2409035E-04
    3, 2.1900000E+03, 1.8500000E+02,-1.2240342E+02, 8.9223737E-02, 2.4853409E-01, 4.2524680E-01, 2.4668989E+02, 1.0970599E-04, 1.8887556E-04, 3.5088641E-04, 4.0563510E-05, 9.1518421E-04
    3, 2.1900000E+03, 1.9500000E+02,-1.2148753E+02, 8.9641359E-02, 2.4969738E-01, 4.7306340E-01, 2.4599922E+02, 1.2036285E-04, 2.0515379E-04, 3.8895133E-04, 4.4558236E-05, 1.0055312E-03
    3, 2.1900000E+03, 2.0500000E+02,-1.2062882E+02, 9.0043403E-02, 2.5081728E-01, 5.2037796E-01, 2.4533431E+02, 1.3077058E-04, 2.2063365E-04, 4.2637443E-04, 4.8390088E-05, 1.0933558E-03
    3, 2.1900000E+03, 2.1500000E+02,-1.1982183E+02, 9.0430958E-02, 2.5189682E-01, 5.6609806E-01, 2.4469336E+02, 1.4071110E-04, 2.3491535E-04, 4.6228617E-04, 5.1955428E-05, 1.1765786E-03
    3, 2.1900000E+03, 2.2500000E+02,-1.1906192E+02, 9.0805015E-02, 2.5293876E-01, 6.0899352E-01, 2.4407473E+02, 1.4994281E-04, 2.4758308E-04, 4.9571883E-04, 5.5138602E-05, 1.2529317E-03
