iPrint,time(d),z(cm),h(cm),th(cm^3/cm^3),Sw(-),C(mg/L),Aaw(cm^2/cm^3),Cs1(mg/g),Cs2(mg/g),Caw1(mg/cm^3),Caw2(mg/cm^3),Ctot(mg/cm^3)
    6, 4.3800000E+03, 5.0000000E+00,-1.3700667E+02, 8.3862918E-02, 2.3360144E-01, 2.4362196E-04, 2.5624781E+02, 1.6586544E-07, 3.3646480E-07, 2.1023854E-07, 3.5682971E-08, 1.0836437E-06
    6, 4.3800000E+03, 1.5000000E+01,-1.2995875E+02, 8.6193058E-02, 2.4009208E-01, 6.9448158E-04, 2.5193039E+02, 4.1262683E-07, 8.3594149E-07, 5.8921513E-07, 9.9194949E-08, 2.7796902E-06
    6, 4.3800000E+03, 2.5000000E+01,-1.2644768E+02, 8.7546961E-02, 2.4386340E-01, 1.5399706E-03, 2.4946299E+02, 8.2498950E-07, 1.6579130E-06, 1.2937347E-06, 2.1412153E-07, 5.6823584E-06
    6, 4.3800000E+03, 3.5000000E+01,-1.2551311E+02, 8.7931955E-02, 2.4493581E-01, 2.9751118E-03, 2.4882628E+02, 1.4630545E-06, 2.9091539E-06, 2.4929650E-06, 4.0395745E-07, 1.0272113E-05
    6, 4.3800000E+03, 4.5000000E+01,-1.2684503E+02, 8.7385889E-02, 2.4341473E-01, 5.2013864E-03, 2.4972938E+02, 2.3786813E-06, 4.6905902E-06, 4.3741114E-06, 6.9291289E-07, 1.7023257E-05
    6, 4.3800000E+03, 5.5000000E+01,-1.3037685E+02, 8.6039948E-02, 2.3966559E-01, 8.4268017E-03, 2.5221408E+02, 3.6194221E-06, 7.1029004E-06, 7.1566641E-06, 1.1072008E-06, 2.6434125E-05
    6, 4.3800000E+03, 6.5000000E+01,-1.3489422E+02, 8.4510636E-02, 2.3540567E-01, 1.2890016E-02, 2.5504768E+02, 5.2388157E-06, 1.0244015E-05, 1.1069351E-05, 1.6741796E-06, 3.9023439E-05
    6, 4.3800000E+03, 7.5000000E+01,-1.3764123E+02, 8.3673042E-02, 2.3307254E-01, 1.8884775E-02, 2.5659962E+02, 7.3034811E-06, 1.4205033E-05, 1.6314481E-05, 2.4213492E-06, 5.5310329E-05
    6, 4.3800000E+03, 8.5000000E+01,-1.3763301E+02, 8.3674481E-02, 2.3307655E-01, 2.6727833E-02, 2.5659696E+02, 9.8803218E-06, 1.9063098E-05, 2.3086913E-05, 3.3744980E-06, 7.5788792E-05
    6, 4.3800000E+03, 9.5000000E+01,-1.3616398E+02, 8.4112652E-02, 2.3429708E-01, 3.6702346E-02, 2.5578509E+02, 1.3019558E-05, 2.4881682E-05, 3.1597298E-05, 4.5572464E-06, 1.0090699E-04
    6, 4.3800000E+03, 1.0500000E+02,-1.3431551E+02, 8.4690682E-02, 2.3590719E-01, 4.9060206E-02, 2.5471408E+02, 1.6758964E-05, 3.1709038E-05, 4.2051052E-05, 5.9901957E-06, 1.3105363E-04
    6, 4.3800000E+03, 1.1500000E+02,-1.3250029E+02, 8.5288633E-02, 2.3757279E-01, 6.4028474E-02, 2.5360616E+02, 2.1127945E-05, 3.9576651E-05, 5.4628959E-05, 7.6901236E-06, 1.6654636E-04
    6, 4.3800000E+03, 1.2500000E+02,-1.3082502E+02, 8.5868643E-02, 2.3918842E-01, 8.1800199E-02, 2.5253149E+02, 2.6146220E-05, 4.8493474E-05, 6.9476151E-05, 9.6680639E-06, 2.0760707E-04
    6, 4.3800000E+03, 1.3500000E+02,-1.2929961E+02, 8.6421528E-02, 2.4072849E-01, 1.0252652E-01, 2.5150707E+02, 3.1822927E-05, 5.8449369E-05, 8.6697696E-05, 1.1929716E-05, 2.5436094E-04
    6, 4.3800000E+03, 1.4500000E+02,-1.2790923E+02, 8.6946996E-02, 2.4219219E-01, 1.2630811E-01, 2.5053345E+02, 3.8155558E-05, 6.9413582E-05, 1.0635358E-04, 1.4474697E-05, 3.0682538E-04
    6, 4.3800000E+03, 1.5500000E+02,-1.2663549E+02, 8.7447163E-02, 2.4358541E-01, 1.5317774E-01, 2.4962804E+02, 4.5126624E-05, 8.1332812E-05, 1.2845669E-04, 1.7295816E-05, 3.6489697E-04
    6, 4.3800000E+03, 1.6500000E+02,-1.2546178E+02, 8.7924545E-02, 2.4491517E-01, 1.8307847E-01, 2.4883853E+02, 5.2699568E-05, 9.4128760E-05, 1.5297276E-04, 2.0377903E-05, 4.2833744E-04
    6, 4.3800000E+03, 1.7500000E+02,-1.2437423E+02, 8.8381490E-02, 2.4618800E-01, 2.1593098E-01, 2.4808282E+02, 6.0836838E-05, 1.0770147E-04, 1.7978020E-04, 2.3698466E-05, 4.9677480E-04
    6, 4.3800000E+03, 1.8500000E+02,-1.2336142E+02, 8.8820069E-02, 2.4740966E-01, 2.5154557E-01, 2.4735749E+02, 6.9478292E-05, 1.2192029E-04, 2.0870068E-04, 2.7225267E-05, 5.6967374E-04
    6, 4.3800000E+03, 1.9500000E+02,-1.2241398E+02, 8.9242073E-02, 2.4858516E-01, 2.8963827E-01, 2.4665957E+02, 7.8546583E-05, 1.3662642E-04, 2.3948087E-04, 3.0916637E-05, 6.4633191E-04
    6, 4.3800000E+03, 2.0500000E+02,-1.2152418E+02, 8.9649050E-02, 2.4971880E-01, 3.2982356E-01, 2.4598650E+02, 8.7946320E-05, 1.5163230E-04, 2.7178799E-04, 3.4721381E-05, 7.2587216E-04
    6, 4.3800000E+03, 2.1500000E+02,-1.2068560E+02, 9.0042346E-02, 2.5081433E-01, 3.7160537E-01, 2.4533605E+02, 9.7562730E-05, 1.6671765E-04, 3.0520397E-04, 3.8577882E-05, 8.0722624E-04
    6, 4.3800000E+03, 2.2500000E+02,-1.1989287E+02, 9.0423137E-02, 2.5187503E-01, 4.1437056E-01, 2.4470629E+02, 1.0726078E-04, 1.8163004E-04, 3.3922176E-04, 4.2413930E-05, 8.8912973E-04
    6, 4.3800000E+03, 2.3500000E+02,-1.1914149E+02, 9.0792453E-02, 2.5290377E-01, 4.5738345E-01, 2.4409550E+02, 1.1688442E-04, 1.9608181E-04, 3.7324263E-04, 4.6146209E-05, 9.7011186E-04
    6, 4.3800000E+03, 2.4500000E+02,-1.1842770E+02, 9.1151207E-02, 2.5390308E-01, 4.9978502E-01, 2.4350219E+02, 1.2625658E-04, 2.0975735E-04, 4.0657708E-04, 4.9682347E-05, 1.0485101E-03
    6, 4.3800000E+03, 2.5500000E+02,-1.1774829E+02, 9.1500208E-02, 2.5487523E-01, 5.4059522E-01, 2.4292500E+02, 1.3517969E-04, 2.2230998E-04, 4.3844813E-04, 5.2920912E-05, 1.1224693E-03
    6, 4.3800000E+03, 2.6500000E+02,-1.1710056E+02, 9.1840179E-02, 2.5582223E-01, 5.7872108E-01, 2.4236275E+02, 1.4343691E-04, 2.3337041E-04, 4.6799883E-04, 5.5754029E-05, 1.1899682E-03
    6, 4.3800000E+03, 2.7500000E+02,-1.1648222E+02, 9.2171776E-02, 2.5674589E-01, 6.1297531E-01, 2.4181434E+02, 1.5079537E-04, 2.4255284E-04, 4.9430773E-04, 5.8069880E-05, 1.2488542E-03
    6, 4.3800000E+03, 2.8500000E+02,-1.1589130E+02, 9.2495594E-02, 2.5764789E-01, 6.4210606E-01, 2.4127880E+02, 1.5701116E-04, 2.4946998E-04, 5.1641238E-04, 5.9757413E-05, 1.2969066E-03
    6, 4.3800000E+03, 2.9500000E+02,-1.1532608E+02, 9.2812181E-02, 2.5852975E-01, 6.6483495E-01, 2.4075522E+02, 1.6183545E-04, 2.5374358E-04, 5.3333857E-04, 6.0710891E-05, 1.3319013E-03
    6, 4.3800000E+03, 3.0500000E+02,-1.1478507E+02, 9.3122047E-02, 2.5939289E-01, 6.7991725E-01, 2.4024303E+02, 1.6502487E-04, 2.5503143E-04, 5.4414665E-04, 6.0838278E-05, 1.3517318E-03
    6, 4.3800000E+03, 3.1500000E+02,-1.1426694E+02, 9.3425669E-02, 2.6023863E-01, 6.8613782E-01, 2.3978152E+02, 1.6633763E-04, 2.5305082E-04, 5.4801589E-04, 6.0069212E-05, 1.3545330E-03
    6, 4.3800000E+03, 3.2500000E+02,-1.1377049E+02, 9.3723439E-02, 2.6106808E-01, 6.8263405E-01, 2.3932890E+02, 1.6559840E-04, 2.4761291E-04, 5.4421865E-04, 5.8365372E-05, 1.3388576E-03
    6, 4.3800000E+03, 3.3500000E+02,-1.1329469E+02, 9.4015645E-02, 2.6188202E-01, 6.6877413E-01, 2.3888475E+02, 1.6266936E-04, 2.3865302E-04, 5.3229706E-04, 5.5729220E-05, 1.3038530E-03
    6, 4.3800000E+03, 3.4500000E+02,-1.1283889E+02, 9.4302308E-02, 2.6268052E-01, 6.4433667E-01, 2.3844902E+02, 1.5748558E-04, 2.2626248E-04, 5.1211047E-04, 5.2212196E-05, 1.2494432E-03
    6, 4.3800000E+03, 3.5500000E+02,-1.1240330E+02, 9.4582830E-02, 2.6346192E-01, 6.0960722E-01, 2.3802262E+02, 1.5007426E-04, 2.1070856E-04, 4.8390935E-04, 4.7918576E-05, 1.1764800E-03
    6, 4.3800000E+03, 3.6500000E+02,-1.1199017E+02, 9.4855160E-02, 2.6422050E-01, 5.6546707E-01, 2.3760868E+02, 1.4057464E-04, 1.9245084E-04, 4.4840562E-04, 4.3006227E-05, 1.0868818E-03
    6, 4.3800000E+03, 3.7500000E+02,-1.1160674E+02, 9.5113770E-02, 2.6494086E-01, 5.1353957E-01, 2.3721558E+02, 1.2927422E-04, 1.7216479E-04, 4.0689141E-04, 3.7687639E-05, 9.8386500E-04
    6, 4.3800000E+03, 3.8500000E+02,-1.1127236E+02, 9.5344589E-02, 2.6558381E-01, 4.5697538E-01, 2.3686474E+02, 1.1679368E-04, 1.5097226E-04, 3.6186540E-04, 3.2278866E-05, 8.7336958E-04
    6, 4.3800000E+03, 3.9500000E+02,-1.1103714E+02, 9.5511165E-02, 2.6604781E-01, 4.0554345E-01, 2.3661154E+02, 1.0527013E-04, 1.3216271E-04, 3.2105860E-04, 2.7602350E-05, 7.7369811E-04
