iPrint,time(d),z(cm),h(cm),th(cm^3/cm^3),Sw(-),C(mg/L),Aaw(cm^2/cm^3),Cs1(mg/g),Cs2(mg/g),Caw1(mg/cm^3),Caw2(mg/cm^3),Ctot(mg/cm^3)
   10, 7.3000000E+03, 5.0000000E+00,-1.6188151E+02, 7.8457947E-02, 2.1854581E-01, 5.3390445E-05, 2.6736733E+02, 4.4279825E-08, 8.5247819E-08, 4.8073857E-08, 7.3974605E-09, 2.7040170E-07
   10, 7.3000000E+03, 1.5000000E+01,-1.4815852E+02, 8.1000936E-02, 2.2562935E-01, 1.5579698E-04, 2.6174978E+02, 1.1241881E-07, 2.1669682E-07, 1.3733516E-07, 2.1151947E-08, 7.0657794E-07
   10, 7.3000000E+03, 2.5000000E+01,-1.4438734E+02, 8.1873222E-02, 2.2805911E-01, 3.5334682E-04, 2.5993443E+02, 2.2921744E-07, 4.4570101E-07, 3.0931429E-07, 4.7665339E-08, 1.4840016E-06
   10, 7.3000000E+03, 3.5000000E+01,-1.4657051E+02, 8.1357530E-02, 2.2662265E-01, 7.0512662E-04, 2.6096205E+02, 4.1812391E-07, 8.1474098E-07, 6.1969357E-07, 9.4367628E-08, 2.7772997E-06
   10, 7.3000000E+03, 4.5000000E+01,-1.4963154E+02, 8.0683105E-02, 2.2474402E-01, 1.2806551E-03, 2.6245188E+02, 7.0271401E-07, 1.3700909E-06, 1.1319060E-06, 1.7005873E-07, 4.7777455E-06
   10, 7.3000000E+03, 5.5000000E+01,-1.4921942E+02, 8.0770675E-02, 2.2498795E-01, 2.1709925E-03, 2.6225844E+02, 1.1122575E-06, 2.1649718E-06, 1.9173882E-06, 2.8560504E-07, 7.7103979E-06
   10, 7.3000000E+03, 6.5000000E+01,-1.4636087E+02, 8.1405459E-02, 2.2675615E-01, 3.4911580E-03, 2.6085618E+02, 1.6814970E-06, 3.2581347E-06, 3.0667874E-06, 4.5385314E-07, 1.1841621E-05
   10, 7.3000000E+03, 7.5000000E+01,-1.4306890E+02, 8.2199105E-02, 2.2896687E-01, 5.3695922E-03, 2.5933062E+02, 2.4454656E-06, 4.7122753E-06, 4.6891595E-06, 6.8945078E-07, 1.7465630E-05
   10, 7.3000000E+03, 8.5000000E+01,-1.4005469E+02, 8.2990781E-02, 2.3117209E-01, 7.9540999E-03, 2.5786376E+02, 3.4421265E-06, 6.5925958E-06, 6.9065821E-06, 1.0085830E-06, 2.4901775E-05
   10, 7.3000000E+03, 9.5000000E+01,-1.3742412E+02, 8.3737757E-02, 2.3325280E-01, 1.1409385E-02, 2.5647972E+02, 4.7111916E-06, 8.9651543E-06, 9.8531012E-06, 1.4286635E-06, 3.4488576E-05
   10, 7.3000000E+03, 1.0500000E+02,-1.3513392E+02, 8.4434583E-02, 2.3519383E-01, 1.5913913E-02, 2.5518860E+02, 6.2930125E-06, 1.1895244E-05, 1.3673020E-05, 1.9679425E-06, 4.6576941E-05
   10, 7.3000000E+03, 1.1500000E+02,-1.3312209E+02, 8.5085313E-02, 2.3700644E-01, 2.1657000E-02, 2.5398289E+02, 8.2277889E-06, 1.5445653E-05, 1.8517775E-05, 2.6450334E-06, 6.1522192E-05
   10, 7.3000000E+03, 1.2500000E+02,-1.3133563E+02, 8.5695540E-02, 2.3870624E-01, 2.8834415E-02, 2.5285222E+02, 1.0554443E-05, 1.9674708E-05, 2.4542217E-05, 3.4783454E-06, 7.9674371E-05
   10, 7.3000000E+03, 1.3500000E+02,-1.2973330E+02, 8.6270403E-02, 2.4030753E-01, 3.7643341E-02, 2.5178708E+02, 1.3309487E-05, 2.4634483E-05, 3.1900385E-05, 4.4855290E-06, 1.0136826E-04
   10, 7.3000000E+03, 1.4500000E+02,-1.2828339E+02, 8.6814230E-02, 2.4182237E-01, 4.8276954E-02, 2.5077945E+02, 1.6525945E-05, 3.0369150E-05, 4.0741012E-05, 5.6828676E-06, 1.2691333E-04
   10, 7.3000000E+03, 1.5500000E+02,-1.2696135E+02, 8.7330615E-02, 2.4326076E-01, 6.0918803E-02, 2.4982266E+02, 2.0232349E-05, 3.6913291E-05, 5.1202938E-05, 7.0846714E-06, 1.5658364E-04
   10, 7.3000000E+03, 1.6500000E+02,-1.2574787E+02, 8.7822551E-02, 2.4463106E-01, 7.5718871E-02, 2.4900721E+02, 2.4446698E-05, 4.4290173E-05, 6.3419729E-05, 8.7025882E-06, 1.9060703E-04
   10, 7.3000000E+03, 1.7500000E+02,-1.2462751E+02, 8.8292560E-02, 2.4594028E-01, 9.2831819E-02, 2.4822990E+02, 2.9188306E-05, 5.2510185E-05, 7.7488950E-05, 1.0544981E-05, 2.2915374E-04
   10, 7.3000000E+03, 1.8500000E+02,-1.2358776E+02, 8.8742790E-02, 2.4719440E-01, 1.1237135E-01, 2.4748530E+02, 3.4465373E-05, 6.1568893E-05, 9.3488333E-05, 1.2616191E-05, 2.7232442E-04
   10, 7.3000000E+03, 1.9500000E+02,-1.2261834E+02, 8.9175095E-02, 2.4839859E-01, 1.3441212E-01, 2.4677034E+02, 4.0276717E-05, 7.1445156E-05, 1.1146282E-04, 1.4915832E-05, 3.2013635E-04
   10, 7.3000000E+03, 2.0500000E+02,-1.2171071E+02, 8.9591090E-02, 2.4955735E-01, 1.5898235E-01, 2.4608235E+02, 4.6610758E-05, 8.2099200E-05, 1.3141853E-04, 1.7438075E-05, 3.7251111E-04
   10, 7.3000000E+03, 2.1500000E+02,-1.2085771E+02, 8.9992197E-02, 2.5067464E-01, 1.8605553E-01, 2.4541899E+02, 5.3444333E-05, 9.3470610E-05, 1.5331660E-04, 2.0170948E-05, 4.2926171E-04
   10, 7.3000000E+03, 2.2500000E+02,-1.2005330E+02, 9.0379671E-02, 2.5175396E-01, 2.1554245E-01, 2.4477818E+02, 6.0741592E-05, 1.0547702E-04, 1.7706733E-04, 2.3095774E-05, 4.9008144E-04
   10, 7.3000000E+03, 2.3500000E+02,-1.1929234E+02, 9.0754634E-02, 2.5279842E-01, 2.4728374E-01, 2.4415805E+02, 6.8453043E-05, 1.1801253E-04, 2.0252490E-04, 2.6186504E-05, 5.5453303E-04
   10, 7.3000000E+03, 2.4500000E+02,-1.1857044E+02, 9.1118089E-02, 2.5381083E-01, 2.8104246E-01, 2.4355696E+02, 7.6514580E-05, 1.3094648E-04, 2.2948232E-04, 2.9409283E-05, 6.2203879E-04
