iPrint,time(d),z(cm),h(cm),th(cm^3/cm^3),Sw(-),C(mg/L),Aaw(cm^2/cm^3),Cs1(mg/g),Cs2(mg/g),Caw1(mg/cm^3),Caw2(mg/cm^3),Ctot(mg/cm^3)
    9, 6.5700000E+03, 5.0000000E+00,-1.4335981E+02, 8.2126653E-02, 2.2876505E-01, 7.8244891E-05, 2.5946486E+02, 6.1747493E-08, 1.1776065E-07, 6.8370924E-08, 1.0743032E-08, 3.7759969E-07
    9, 6.5700000E+03, 1.5000000E+01,-1.3460883E+02, 8.4603066E-02, 2.3566314E-01, 2.2558223E-04, 2.5487642E+02, 1.5512717E-07, 2.9829478E-07, 1.9362901E-07, 3.0551860E-08, 9.8098333E-07
    9, 6.5700000E+03, 2.5000000E+01,-1.2997195E+02, 8.6188254E-02, 2.4007870E-01, 5.1384337E-04, 2.5193929E+02, 3.1749390E-07, 6.0949994E-07, 4.3597393E-07, 6.8367225E-08, 2.0568474E-06
    9, 6.5700000E+03, 3.5000000E+01,-1.2842863E+02, 8.6765632E-02, 2.4168700E-01, 1.0252575E-03, 2.5086949E+02, 5.7907832E-07, 1.1055506E-06, 8.6618589E-07, 1.3412757E-07, 3.8301618E-06
    9, 6.5700000E+03, 4.5000000E+01,-1.2937334E+02, 8.6408892E-02, 2.4069329E-01, 1.8509878E-03, 2.5153048E+02, 9.6817466E-07, 1.8433572E-06, 1.5679012E-06, 2.3935516E-07, 6.5415605E-06
    9, 6.5700000E+03, 5.5000000E+01,-1.3229769E+02, 8.5365989E-02, 2.3778827E-01, 3.1033854E-03, 2.5346283E+02, 1.5177830E-06, 2.8874213E-06, 2.6489012E-06, 3.9795026E-07, 1.0479042E-05
    9, 6.5700000E+03, 6.5000000E+01,-1.3560513E+02, 8.4288770E-02, 2.3478766E-01, 4.9176473E-03, 2.5545877E+02, 2.2653825E-06, 4.3070606E-06, 4.2303983E-06, 6.2589066E-07, 1.5964156E-05
    9, 6.5700000E+03, 7.5000000E+01,-1.3714247E+02, 8.3821594E-02, 2.3348633E-01, 7.4612541E-03, 2.5632438E+02, 3.2558090E-06, 6.1743951E-06, 6.4400172E-06, 9.4095162E-07, 2.3349325E-05
    9, 6.5700000E+03, 8.5000000E+01,-1.3663225E+02, 8.3973841E-02, 2.3391042E-01, 1.0924277E-02, 2.5604228E+02, 4.5364306E-06, 8.5620616E-06, 9.4181470E-06, 1.3622425E-06, 3.3008990E-05
    9, 6.5700000E+03, 9.5000000E+01,-1.3511819E+02, 8.4439585E-02, 2.3520776E-01, 1.5506048E-02, 2.5517933E+02, 6.1524570E-06, 1.1541269E-05, 1.3322191E-05, 1.9097326E-06, 4.5328940E-05
    9, 6.5700000E+03, 1.0500000E+02,-1.3335421E+02, 8.5008233E-02, 2.3679174E-01, 2.1413221E-02, 2.5412570E+02, 8.1471545E-06, 1.5179864E-05, 1.8319699E-05, 2.6037062E-06, 6.0696765E-05
    9, 6.5700000E+03, 1.1500000E+02,-1.3163484E+02, 8.5590932E-02, 2.3841485E-01, 2.8857929E-02, 2.5304604E+02, 1.0561931E-05, 1.9540340E-05, 2.4581050E-05, 3.4641376E-06, 7.9491559E-05
    9, 6.5700000E+03, 1.2500000E+02,-1.3004094E+02, 8.6157610E-02, 2.3999334E-01, 3.8052805E-02, 2.5199607E+02, 1.3435351E-05, 2.4677570E-05, 3.2273934E-05, 4.5099538E-06, 1.0207215E-04
    9, 6.5700000E+03, 1.3500000E+02,-1.2858099E+02, 8.6700218E-02, 2.4150478E-01, 4.9204698E-02, 2.5099070E+02, 1.6801898E-05, 3.0637040E-05, 4.1558296E-05, 5.7584051E-06, 1.2876591E-04
    9, 6.5700000E+03, 1.4500000E+02,-1.2724341E+02, 8.7218054E-02, 2.4294723E-01, 6.2508068E-02, 2.5003122E+02, 2.0690787E-05, 3.7453163E-05, 5.2581250E-05, 7.2243909E-06, 1.5985768E-04
    9, 6.5700000E+03, 1.5500000E+02,-1.2601310E+02, 8.7712588E-02, 2.4432476E-01, 7.8123528E-02, 2.4918907E+02, 2.5120763E-05, 4.5147614E-05, 6.5479050E-05, 8.9197608E-06, 1.9557788E-04
    9, 6.5700000E+03, 1.6500000E+02,-1.2487604E+02, 8.8185742E-02, 2.4564274E-01, 9.6200946E-02, 2.4840656E+02, 3.0107774E-05, 5.3727620E-05, 8.0354037E-05, 1.0852581E-05, 2.3609036E-04
    9, 6.5700000E+03, 1.7500000E+02,-1.2382028E+02, 8.8639382E-02, 2.4690636E-01, 1.1685508E-01, 2.4765631E+02, 3.5658743E-05, 6.3184467E-05, 9.7278783E-05, 1.3026522E-05, 2.8148117E-04
    9, 6.5700000E+03, 1.8500000E+02,-1.2283577E+02, 8.9075185E-02, 2.4812029E-01, 1.4015375E-01, 2.4693557E+02, 4.1769447E-05, 7.3491399E-05, 1.1629122E-04, 1.5440026E-05, 3.3174487E-04
    9, 6.5700000E+03, 1.9500000E+02,-1.2191415E+02, 8.9494632E-02, 2.4928867E-01, 1.6611301E-01, 2.4624188E+02, 4.8424348E-05, 8.4601819E-05, 1.3738618E-04, 1.8085636E-05, 3.8677161E-04
    9, 6.5700000E+03, 2.0500000E+02,-1.2104834E+02, 8.9899028E-02, 2.5041512E-01, 1.9468851E-01, 2.4557308E+02, 5.5595380E-05, 9.6447369E-05, 1.6050898E-04, 2.0949298E-05, 4.4633414E-04
    9, 6.5700000E+03, 2.1500000E+02,-1.2023237E+02, 9.0289537E-02, 2.5150289E-01, 2.2576601E-01, 2.4492724E+02, 6.3240540E-05, 1.0893596E-04, 1.8554846E-04, 2.4009643E-05, 5.1007358E-04
    9, 6.5700000E+03, 2.2500000E+02,-1.1946116E+02, 9.0667198E-02, 2.5255487E-01, 2.5915496E-01, 2.4430266E+02, 7.1303264E-05, 1.2195090E-04, 2.1233268E-04, 2.7237532E-05, 5.7749160E-04
    9, 6.5700000E+03, 2.3500000E+02,-1.1873034E+02, 9.1032947E-02, 2.5357367E-01, 2.9458014E-01, 2.4369777E+02, 7.9711252E-05, 1.3534923E-04, 2.4062323E-04, 3.0595427E-05, 6.4793855E-04
    9, 6.5700000E+03, 2.4500000E+02,-1.1803613E+02, 9.1387637E-02, 2.5456166E-01, 3.3167482E-01, 2.4311117E+02, 8.8375624E-05, 1.4896071E-04, 2.7011075E-04, 3.4037065E-05, 7.2060501E-04
    9, 6.5700000E+03, 2.5500000E+02,-1.1737531E+02, 9.1732043E-02, 2.5552101E-01, 3.6997502E-01, 2.4254158E+02, 9.7190231E-05, 1.6258705E-04, 3.0041165E-04, 3.7507202E-05, 7.9451505E-04
    9, 6.5700000E+03, 2.6500000E+02,-1.1674506E+02, 9.2066877E-02, 2.5645370E-01, 4.0891451E-01, 2.4198783E+02, 1.0603101E-04, 1.7600230E-04, 3.3106526E-04, 4.0941694E-05, 8.6852265E-04
    9, 6.5700000E+03, 2.7500000E+02,-1.1614295E+02, 9.2392794E-02, 2.5736154E-01, 4.4782395E-01, 2.4144882E+02, 1.1475615E-04, 1.8895392E-04, 3.6153451E-04, 4.4267911E-05, 9.4131442E-04
    9, 6.5700000E+03, 2.8500000E+02,-1.1556688E+02, 9.2710398E-02, 2.5824623E-01, 4.8593008E-01, 2.4092355E+02, 1.2320599E-04, 2.0116377E-04, 3.9120640E-04, 4.7405298E-05, 1.0114121E-03
    9, 6.5700000E+03, 2.9500000E+02,-1.1501503E+02, 9.3020246E-02, 2.5910932E-01, 5.2236229E-01, 2.4041112E+02, 1.3120431E-04, 2.1233138E-04, 4.1939822E-04, 5.0266719E-05, 1.0771878E-03
