iPrint,time(d),z(cm),h(cm),th(cm^3/cm^3),Sw(-),C(mg/L),Aaw(cm^2/cm^3),Cs1(mg/g),Cs2(mg/g),Caw1(mg/cm^3),Caw2(mg/cm^3),Ctot(mg/cm^3)
    8, 4.0000000E+00, 2.5000000E-01,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 5.3404168E-04, 1.2908719E+02, 3.2832428E-07, 2.6127388E-08, 2.3216248E-07, 1.7245984E-09, 9.1306704E-07
    8, 4.0000000E+00, 7.5000000E-01,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 6.5261932E-04, 1.2908719E+02, 3.9090098E-07, 2.6519799E-08, 2.8371087E-07, 1.7079858E-09, 1.0898056E-06
    8, 4.0000000E+00, 1.2500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 7.8313702E-04, 1.2908719E+02, 4.5809069E-07, 2.6713553E-08, 3.4044964E-07, 1.6894224E-09, 1.2812062E-06
    8, 4.0000000E+00, 1.7500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 9.2544275E-04, 1.2908719E+02, 5.2970825E-07, 2.6762119E-08, 4.0231265E-07, 1.6689382E-09, 1.4869591E-06
    8, 4.0000000E+00, 2.2500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 1.0791858E-03, 1.2908719E+02, 6.0548910E-07, 2.6698923E-08, 4.6914736E-07, 1.6465567E-09, 1.7064687E-06
    8, 4.0000000E+00, 2.7500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 1.2437981E-03, 1.2908719E+02, 6.8508589E-07, 2.6546504E-08, 5.4070676E-07, 1.6223189E-09, 1.9388503E-06
    8, 4.0000000E+00, 3.2500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 1.4184750E-03, 1.2908719E+02, 7.6806412E-07, 2.6320569E-08, 6.1664095E-07, 1.5962961E-09, 2.1829184E-06
    8, 4.0000000E+00, 3.7500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 1.6021542E-03, 1.2908719E+02, 8.5389677E-07, 2.6032548E-08, 6.9648813E-07, 1.5686003E-09, 2.4371686E-06
    8, 4.0000000E+00, 4.2500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 1.7934923E-03, 1.2908719E+02, 9.4195726E-07, 2.5691445E-08, 7.7966418E-07, 1.5393930E-09, 2.6997543E-06
    8, 4.0000000E+00, 4.7500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 1.9908359E-03, 1.2908719E+02, 1.0315101E-06, 2.5305162E-08, 8.6545034E-07, 1.5088939E-09, 2.9684558E-06
    8, 4.0000000E+00, 5.2500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 2.1921863E-03, 1.2908719E+02, 1.1216982E-06, 2.4881444E-08, 9.5297772E-07, 1.4773911E-09, 3.2406392E-06
    8, 4.0000000E+00, 5.7500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 2.3951545E-03, 1.2908719E+02, 1.2115262E-06, 2.4428526E-08, 1.0412078E-06, 1.4452521E-09, 3.5132016E-06
    8, 4.0000000E+00, 6.2500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 2.5969029E-03, 1.2908719E+02, 1.2998376E-06, 2.3955635E-08, 1.1289070E-06, 1.4129368E-09, 3.7824990E-06
    8, 4.0000000E+00, 6.7500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 2.7940711E-03, 1.2908719E+02, 1.3852852E-06, 2.3473424E-08, 1.2146147E-06, 1.3810127E-09, 4.0442518E-06
    8, 4.0000000E+00, 7.2500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 2.9826810E-03, 1.2908719E+02, 1.4662923E-06, 2.2994439E-08, 1.2966016E-06, 1.3501712E-09, 4.2934229E-06
    8, 4.0000000E+00, 7.7500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 3.1580170E-03, 1.2908719E+02, 1.5410020E-06, 2.2533694E-08, 1.3728181E-06, 1.3212482E-09, 4.5240620E-06
    8, 4.0000000E+00, 8.2500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 3.3144771E-03, 1.2908719E+02, 1.6072139E-06, 2.2109409E-08, 1.4408290E-06, 1.2952460E-09, 4.7291095E-06
    8, 4.0000000E+00, 8.7500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 3.4453902E-03, 1.2908719E+02, 1.6623024E-06, 2.1743964E-08, 1.4977348E-06, 1.2733590E-09, 4.9001511E-06
    8, 4.0000000E+00, 9.2500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 3.5427958E-03, 1.2908719E+02, 1.7031141E-06, 2.1464998E-08, 1.5400753E-06, 1.2570027E-09, 5.0271149E-06
    8, 4.0000000E+00, 9.7500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 3.5971825E-03, 1.2908719E+02, 1.7258378E-06, 2.1306176E-08, 1.5637162E-06, 1.2478457E-09, 5.0978969E-06
