iPrint,time(d),z(cm),h(cm),th(cm^3/cm^3),Sw(-),C(mg/L),Aaw(cm^2/cm^3),Cs1(mg/g),Cs2(mg/g),Caw1(mg/cm^3),Caw2(mg/cm^3),Ctot(mg/cm^3)
    1, 5.0000000E-01, 2.5000000E-01,-5.4594260E+01, 2.1888524E-01, 6.0970818E-01, 5.0602662E-02, 7.5527916E+01, 1.7216444E-05, 3.0989295E-08, 1.2860701E-05, 2.7129398E-09, 5.2001163E-05
    1, 5.0000000E-01, 7.5000000E-01,-5.4150029E+01, 2.2102820E-01, 6.1567744E-01, 5.2432353E-02, 7.3941991E+01, 1.7756773E-05, 2.1249430E-08, 1.3045522E-05, 1.5733818E-09, 5.3560967E-05
    1, 5.0000000E-01, 1.2500000E+00,-5.3696487E+01, 2.2323526E-01, 6.2182524E-01, 4.3937746E-02, 7.2322120E+01, 1.5225848E-05, 1.2595834E-08, 1.0693977E-05, 7.8925946E-10, 4.5296168E-05
    1, 5.0000000E-01, 1.7500000E+00,-5.3234281E+01, 2.2550365E-01, 6.2814388E-01, 2.8274792E-02, 7.0671364E+01, 1.0376004E-05, 6.0517667E-09, 6.7263998E-06, 3.1589489E-10, 2.9994389E-05
    1, 5.0000000E-01, 2.2500000E+00,-5.2764051E+01, 2.2783042E-01, 6.3462514E-01, 1.2759094E-02, 6.8992895E+01, 5.1924923E-06, 2.1323432E-09, 2.9639607E-06, 8.9571384E-11, 1.4322614E-05
    1, 5.0000000E-01, 2.7500000E+00,-5.2286422E+01, 2.3021245E-01, 6.4126031E-01, 3.4583007E-03, 6.7289930E+01, 1.6677203E-06, 4.6172549E-10, 7.8365715E-07, 1.4651704E-11, 4.2939479E-06
    1, 5.0000000E-01, 3.2500000E+00,-5.1818104E+01, 4.2432427E-02, 1.4432798E-01, 8.8926163E-04, 8.3567145E+01, 8.8665863E-08, 1.5993312E-11, 2.5026283E-07, 2.4992202E-12, 4.3432392E-07
    1, 5.0000000E-01, 3.7500000E+00,-5.3172850E+01, 4.1377733E-02, 1.4074059E-01, 1.5790190E-04, 8.4320568E+01, 1.9710505E-08, 2.4832732E-12, 4.4839136E-08, 3.0949750E-13, 8.3899499E-08
    1, 5.0000000E-01, 4.2500000E+00,-5.5064936E+01, 4.0087226E-02, 1.3635111E-01, 1.9037432E-05, 8.5270777E+01, 3.1286719E-09, 2.8782214E-13, 5.4669601E-09, 2.7396980E-14, 1.1392929E-08
    1, 5.0000000E-01, 4.7500000E+00,-5.8117099E+01, 3.8372734E-02, 1.3051950E-01, 1.5061033E-06, 8.6589999E+01, 3.4421863E-10, 2.3757730E-14, 4.3919757E-10, 1.6472651E-15, 1.0649925E-09
    1, 5.0000000E-01, 5.2500000E+00,-6.4857880E+01, 3.5722985E-02, 1.2150675E-01, 7.4676362E-08, 8.8797826E+01, 2.5221452E-11, 1.3312177E-15, 2.2331759E-11, 6.4051146E-17, 6.6617077E-11
    1, 5.0000000E-01, 5.7500000E+00,-9.4256268E+01, 3.1553842E-02, 1.0732599E-01, 2.2227799E-09, 9.3087121E+01, 1.1854975E-12, 4.8865061E-17, 6.9682465E-13, 1.5645046E-18, 2.7231150E-12
    1, 5.0000000E-01, 6.2500000E+00,-1.2641363E+02, 8.7561050E-02, 2.4390265E-01, 6.2549975E-12, 2.1234636E+02, 4.1307625E-14, 1.3513308E-18, 4.4731083E-15, 8.1193169E-21, 7.2230516E-14
    1, 5.0000000E-01, 6.7500000E+00,-1.4415862E+02, 8.1929056E-02, 2.2821464E-01, 3.9449641E-15, 2.2265968E+02, 6.7900047E-17, 1.7460337E-21, 2.9581629E-18, 4.2430907E-24, 1.1375759E-16
    1, 5.0000000E-01, 7.2500000E+00,-1.8245433E+02, 7.5922615E-02, 2.1148361E-01, 3.0530950E-19, 2.3577084E+02, 1.7990229E-20, 3.5899192E-25, 2.4241968E-22, 2.7145938E-28, 2.9536287E-20
    1, 5.0000000E-01, 7.7500000E+00,-2.6816238E+02, 7.1871634E-02, 2.0019954E-01, 7.0162983E-25, 2.4760500E+02, 2.2357674E-25, 3.7076367E-30, 5.8506606E-28, 5.0965653E-34, 3.6440088E-25
    1, 5.0000000E-01, 8.2500000E+00,-2.9960463E+02, 7.1342486E-02, 1.9872559E-01, 4.1407376E-28, 2.4964309E+02, 3.4687279E-28, 4.6950233E-31, 3.4812460E-31, 2.9001395E-35, 5.6550360E-28
    1, 5.0000000E-01, 8.7500000E+00,-2.9999735E+02, 7.1337225E-02, 1.9871093E-01, 4.1407000E-28, 2.4966439E+02, 3.4687005E-28, 4.6950231E-31, 3.4815114E-31, 2.9001442E-35, 5.6549916E-28
    1, 5.0000000E-01, 9.2500000E+00,-2.9999998E+02, 7.1337189E-02, 1.9871083E-01, 4.1407000E-28, 2.4966454E+02, 3.4687005E-28, 4.6950231E-31, 3.4815134E-31, 2.9001443E-35, 5.6549916E-28
    1, 5.0000000E-01, 9.7500000E+00,-3.0000000E+02, 7.1337189E-02, 1.9871083E-01, 4.1407000E-28, 2.4966454E+02, 3.4687005E-28, 4.6950231E-31, 3.4815134E-31, 2.9001443E-35, 5.6549916E-28
