iPrint,time(d),z(cm),h(cm),th(cm^3/cm^3),Sw(-),C(mg/L),Aaw(cm^2/cm^3),Cs1(mg/g),Cs2(mg/g),Caw1(mg/cm^3),Caw2(mg/cm^3),Ctot(mg/cm^3)
    7, 3.5000000E+00, 2.5000000E-01,-6.4269450E+01, 1.7767864E-01, 4.9492658E-01, 1.1571937E-02, 1.4227318E+02, 4.7695334E-06, 8.6092210E-08, 5.5435201E-06, 6.1205630E-09, 1.5505830E-05
    7, 3.5000000E+00, 7.5000000E-01,-6.3770890E+01, 1.7952782E-01, 5.0007749E-01, 1.3041746E-02, 1.4052011E+02, 5.2924251E-06, 8.2279856E-08, 6.1705021E-06, 5.0388500E-09, 1.7261542E-05
    7, 3.5000000E+00, 1.2500000E+00,-6.3273635E+01, 1.8140235E-01, 5.0529901E-01, 1.4235248E-02, 1.3876912E+02, 5.7113689E-06, 7.5946027E-08, 6.6511354E-06, 4.1670315E-09, 1.8653571E-05
    7, 3.5000000E+00, 1.7500000E+00,-6.2777562E+01, 1.8330255E-01, 5.1059205E-01, 1.5040287E-02, 1.3699902E+02, 5.9913605E-06, 6.8265417E-08, 6.9375463E-06, 3.4799044E-09, 1.9556961E-05
    7, 3.5000000E+00, 2.2500000E+00,-6.2282556E+01, 1.8522870E-01, 5.1595739E-01, 1.5492760E-02, 1.3520475E+02, 6.1478700E-06, 6.0802188E-08, 7.0526103E-06, 2.9782205E-09, 2.0026802E-05
    7, 3.5000000E+00, 2.7500000E+00,-6.1788508E+01, 1.8718106E-01, 5.2139570E-01, 1.5723207E-02, 1.3341043E+02, 6.2273517E-06, 5.4777481E-08, 7.0624996E-06, 2.6386251E-09, 2.0229249E-05
    7, 3.5000000E+00, 3.2500000E+00,-6.1302457E+01, 3.6960055E-02, 1.2571447E-01, 1.5975270E-02, 1.0131041E+02, 1.0942100E-06, 8.8233779E-09, 5.4491412E-06, 2.5754589E-09, 7.8621685E-06
    7, 3.5000000E+00, 3.7500000E+00,-6.2605626E+01, 3.6470283E-02, 1.2404858E-01, 1.5770502E-02, 1.0170788E+02, 1.0819977E-06, 8.1220055E-09, 5.4004174E-06, 2.3738428E-09, 7.7766434E-06
    7, 3.5000000E+00, 4.2500000E+00,-6.4491377E+01, 3.5836778E-02, 1.2189380E-01, 1.5136398E-02, 1.0222200E+02, 1.0440477E-06, 7.3707105E-09, 5.2095300E-06, 2.1553858E-09, 7.4889655E-06
    7, 3.5000000E+00, 4.7500000E+00,-6.7560262E+01, 3.4965740E-02, 1.1893109E-01, 1.4085330E-02, 1.0306551E+02, 9.8068165E-07, 6.5611750E-09, 4.8878667E-06, 1.9203895E-09, 7.0112417E-06
    7, 3.5000000E+00, 5.2500000E+00,-7.3988215E+01, 3.3618435E-02, 1.1434842E-01, 1.2639281E-02, 1.0474466E+02, 8.9248148E-07, 5.6796088E-09, 4.4576232E-06, 1.6705955E-09, 6.3661725E-06
    7, 3.5000000E+00, 5.7500000E+00,-9.7742169E+01, 3.1368595E-02, 1.0669590E-01, 1.0772214E-02, 1.0754864E+02, 7.7661553E-07, 4.7005654E-09, 3.9009649E-06, 1.4099667E-09, 5.5294556E-06
    7, 3.5000000E+00, 6.2500000E+00,-9.7879541E+01, 1.0666695E-01, 2.9712243E-01, 8.4012376E-03, 2.2057523E+02, 3.6098675E-06, 2.0569387E-08, 6.2399156E-06, 1.9005163E-09, 1.3044671E-05
    7, 3.5000000E+00, 6.7500000E+00,-9.7722065E+01, 1.0683312E-01, 2.9758530E-01, 6.4013496E-03, 2.2035190E+02, 2.8495013E-06, 1.5260211E-08, 4.7498624E-06, 1.3664325E-09, 1.0096072E-05
    7, 3.5000000E+00, 7.2500000E+00,-9.7585598E+01, 1.0697789E-01, 2.9798856E-01, 4.7318602E-03, 2.2015732E+02, 2.1907377E-06, 1.1012379E-08, 3.5080793E-06, 9.5191168E-10, 7.5974831E-06
    7, 3.5000000E+00, 7.7500000E+00,-9.7470426E+01, 1.0710063E-01, 2.9833046E-01, 3.3777060E-03, 2.1999235E+02, 1.6338554E-06, 7.7029008E-09, 2.5023224E-06, 6.3975584E-10, 5.5355320E-06
    7, 3.5000000E+00, 8.2500000E+00,-9.7376950E+01, 1.0720063E-01, 2.9860901E-01, 2.3261219E-03, 2.1985795E+02, 1.1810897E-06, 5.2162768E-09, 1.7222486E-06, 4.1422892E-10, 3.9021444E-06
    7, 3.5000000E+00, 8.7500000E+00,-9.7305696E+01, 1.0727709E-01, 2.9882197E-01, 1.5587373E-03, 2.1975520E+02, 8.3372930E-07, 3.4390392E-09, 1.1535559E-06, 2.6014016E-10, 2.6831057E-06
    7, 3.5000000E+00, 9.2500000E+00,-9.7257328E+01, 1.0732910E-01, 2.9896685E-01, 1.0545252E-03, 2.1968529E+02, 5.9343367E-07, 2.2762819E-09, 7.8016781E-07, 1.6422955E-10, 1.8627334E-06
    7, 3.5000000E+00, 9.7500000E+00,-9.7232655E+01, 1.0735566E-01, 2.9904085E-01, 7.9991692E-04, 2.1964959E+02, 4.6661819E-07, 1.6817777E-09, 5.9170758E-07, 1.1747514E-10, 1.4396247E-06
