iPrint,time(d),z(cm),h(cm),th(cm^3/cm^3),Sw(-),C(mg/L),Aaw(cm^2/cm^3),Cs1(mg/g),Cs2(mg/g),Caw1(mg/cm^3),Caw2(mg/cm^3),Ctot(mg/cm^3)
    6, 3.0000000E+00, 2.5000000E-01,-6.1879968E+01, 1.8681737E-01, 5.2038266E-01, 1.1762646E-02, 1.3374361E+02, 4.8378455E-06, 7.9175545E-08, 5.2970404E-06, 5.6385381E-09, 1.5500139E-05
    6, 3.0000000E+00, 7.5000000E-01,-6.1381590E+01, 1.8881153E-01, 5.2593742E-01, 1.3326533E-02, 1.3191671E+02, 5.3928279E-06, 7.4654904E-08, 5.9191763E-06, 4.5121801E-09, 1.7335486E-05
    6, 3.0000000E+00, 1.2500000E+00,-6.0884681E+01, 1.9083002E-01, 5.3155995E-01, 1.4583287E-02, 1.3006752E+02, 5.8326623E-06, 6.7769311E-08, 6.3864538E-06, 3.6066025E-09, 1.8772992E-05
    6, 3.0000000E+00, 1.7500000E+00,-6.0389100E+01, 1.9287306E-01, 5.3725086E-01, 1.5423354E-02, 1.2821740E+02, 6.1239016E-06, 5.9732818E-08, 6.6581780E-06, 2.9002529E-09, 1.9696601E-05
    6, 3.0000000E+00, 2.2500000E+00,-5.9894716E+01, 1.9494081E-01, 5.4301061E-01, 1.5875399E-02, 1.2635292E+02, 6.2797604E-06, 5.2085118E-08, 6.7536167E-06, 2.3922862E-09, 2.0152685E-05
    6, 3.0000000E+00, 2.7500000E+00,-5.9401408E+01, 1.9703338E-01, 5.4883950E-01, 1.6067637E-02, 1.2446607E+02, 6.3458655E-06, 4.5983371E-08, 6.7333019E-06, 2.0545730E-09, 2.0300755E-05
    6, 3.0000000E+00, 3.2500000E+00,-5.8917071E+01, 3.7985932E-02, 1.2920385E-01, 1.6238527E-02, 1.0047787E+02, 1.1098807E-06, 7.2853368E-09, 5.4933970E-06, 2.1045450E-09, 7.9556612E-06
    6, 3.0000000E+00, 3.7500000E+00,-6.0151048E+01, 3.7432818E-02, 1.2732251E-01, 1.5948947E-02, 1.0092675E+02, 1.0926412E-06, 6.6062965E-09, 5.4195625E-06, 1.9087856E-09, 7.8322438E-06
    6, 3.0000000E+00, 4.2500000E+00,-6.1940277E+01, 3.6714640E-02, 1.2487973E-01, 1.5236143E-02, 1.0150958E+02, 1.0500307E-06, 5.9116424E-09, 5.2073046E-06, 1.7077549E-09, 7.5107067E-06
    6, 3.0000000E+00, 4.7500000E+00,-6.4853229E+01, 3.5724411E-02, 1.2151160E-01, 1.4126668E-02, 1.0231319E+02, 9.8318515E-07, 5.1922189E-09, 4.8664252E-06, 1.5010232E-09, 7.0034157E-06
    6, 3.0000000E+00, 5.2500000E+00,-7.0935618E+01, 3.4190645E-02, 1.1629471E-01, 1.2616584E-02, 1.0403151E+02, 8.9108698E-07, 4.4351605E-09, 4.4193251E-06, 1.2882670E-09, 6.3295940E-06
    6, 3.0000000E+00, 5.7500000E+00,-9.3201426E+01, 3.1616181E-02, 1.0753803E-01, 1.0705809E-02, 1.0724007E+02, 7.7244880E-07, 3.6174999E-09, 3.8657984E-06, 1.0743570E-09, 5.4858590E-06
    6, 3.0000000E+00, 6.2500000E+00,-9.3317586E+01, 1.1189102E-01, 3.1167414E-01, 8.2928560E-03, 2.1364377E+02, 3.5693177E-06, 1.5527801E-08, 5.9658706E-06, 1.3741478E-09, 1.2727684E-05
    6, 3.0000000E+00, 6.7500000E+00,-9.3150987E+01, 1.1209894E-01, 3.1225331E-01, 6.2729694E-03, 2.1337736E+02, 2.7997179E-06, 1.1276677E-08, 4.5072859E-06, 9.6536781E-10, 9.7849326E-06
    6, 3.0000000E+00, 7.2500000E+00,-9.3006663E+01, 1.1228010E-01, 3.1275795E-01, 4.5930605E-03, 2.1314524E+02, 2.1347229E-06, 7.9495101E-09, 3.2967282E-06, 6.5569677E-10, 7.2992211E-06
    6, 3.0000000E+00, 7.7500000E+00,-9.2884881E+01, 1.1243373E-01, 3.1318588E-01, 3.2377949E-03, 2.1294840E+02, 1.5748150E-06, 5.4206944E-09, 2.3218734E-06, 4.2870143E-10, 5.2573829E-06
    6, 3.0000000E+00, 8.2500000E+00,-9.2786040E+01, 1.1255893E-01, 3.1353463E-01, 2.1942656E-03, 2.1278798E+02, 1.1226237E-06, 3.5697285E-09, 1.5723832E-06, 2.6930449E-10, 3.6519535E-06
    6, 3.0000000E+00, 8.7500000E+00,-9.2710684E+01, 1.1265470E-01, 3.1380138E-01, 1.4406327E-03, 2.1266528E+02, 7.7849164E-07, 2.2804244E-09, 1.0317565E-06, 1.6343025E-10, 2.4645301E-06
    6, 3.0000000E+00, 9.2500000E+00,-9.2659513E+01, 1.1271988E-01, 3.1398295E-01, 9.5046810E-04, 2.1258177E+02, 5.4214853E-07, 1.4552936E-09, 6.8044709E-07, 9.9163907E-11, 1.6721263E-06
    6, 3.0000000E+00, 9.7500000E+00,-9.2633396E+01, 1.1275319E-01, 3.1407575E-01, 7.0487420E-04, 2.1253908E+02, 4.1799369E-07, 1.0390516E-09, 5.0452528E-07, 6.8375954E-11, 1.2658367E-06
