iPrint,time(d),z(cm),h(cm),th(cm^3/cm^3),Sw(-),C(mg/L),Aaw(cm^2/cm^3),Cs1(mg/g),Cs2(mg/g),Caw1(mg/cm^3),Caw2(mg/cm^3),Ctot(mg/cm^3)
    2, 1.0000000E+00, 2.5000000E-01,-4.8172987E+01, 2.5133145E-01, 7.0008760E-01, 2.7043180E-02, 7.8803022E+01, 9.9816623E-06, 4.6952124E-08, 7.1737961E-06, 4.0775552E-09, 3.0291231E-05
    2, 1.0000000E+00, 7.5000000E-01,-4.7704928E+01, 2.5378044E-01, 7.0690930E-01, 3.0114225E-02, 7.6858804E+01, 1.0960844E-05, 3.8167316E-08, 7.7909828E-06, 2.7405706E-09, 3.3331516E-05
    2, 1.0000000E+00, 1.2500000E+00,-4.7235350E+01, 2.5624152E-01, 7.1376469E-01, 3.0387023E-02, 7.4915528E+01, 1.1047177E-05, 2.8447522E-08, 7.6627565E-06, 1.7087586E-09, 3.3470923E-05
    2, 1.0000000E+00, 1.7500000E+00,-4.6764333E+01, 2.5871269E-01, 7.2064815E-01, 2.7999287E-02, 7.2974039E+01, 1.0287989E-05, 1.9144471E-08, 6.8779193E-06, 9.6534918E-10, 3.0892362E-05
    2, 1.0000000E+00, 2.2500000E+00,-4.6291955E+01, 2.6119185E-01, 7.2755391E-01, 2.3787856E-02, 7.1029830E+01, 8.9277442E-06, 1.1651606E-08, 5.6881001E-06, 4.9681923E-10, 2.6446188E-05
    2, 1.0000000E+00, 2.7500000E+00,-4.5818286E+01, 2.6367689E-01, 7.3447603E-01, 1.9075736E-02, 6.9097064E+01, 7.3676902E-06, 6.7371111E-09, 4.4375676E-06, 2.4950846E-10, 2.1465841E-05
    2, 1.0000000E+00, 3.2500000E+00,-4.5368692E+01, 4.9552310E-02, 1.6854527E-01, 1.5175310E-02, 9.2351563E+01, 1.0463824E-06, 7.7252918E-10, 4.7186001E-06, 2.0132577E-10, 7.1985787E-06
    2, 1.0000000E+00, 3.7500000E+00,-4.6347730E+01, 4.8190158E-02, 1.6391210E-01, 1.1504547E-02, 9.3214300E+01, 8.2235096E-07, 5.0483877E-10, 3.6108468E-06, 1.2725739E-10, 5.5230920E-06
    2, 1.0000000E+00, 4.2500000E+00,-4.7770538E+01, 4.6415616E-02, 1.5787624E-01, 8.2880240E-03, 9.4338230E+01, 6.1823431E-07, 3.2129069E-10, 2.6328021E-06, 7.8076666E-11, 4.0381907E-06
    2, 1.0000000E+00, 4.7500000E+00,-5.0109385E+01, 4.3945821E-02, 1.4947558E-01, 5.6377893E-03, 9.6025181E+01, 4.4214573E-07, 1.9705823E-10, 1.8230224E-06, 4.6123116E-11, 2.8006914E-06
    2, 1.0000000E+00, 5.2500000E+00,-5.5118793E+01, 4.0053286E-02, 1.3623567E-01, 3.5611682E-03, 9.8800133E+01, 2.9647372E-07, 1.1468971E-10, 1.1848478E-06, 2.5918506E-11, 1.8168811E-06
    2, 1.0000000E+00, 5.7500000E+00,-7.4377102E+01, 3.3552908E-02, 1.1412554E-01, 1.9702781E-03, 1.0482633E+02, 1.7714940E-07, 5.9999180E-11, 6.9553913E-07, 1.3278317E-11, 1.0540565E-06
    2, 1.0000000E+00, 6.2500000E+00,-7.5092159E+01, 1.4457142E-01, 4.0270591E-01, 7.0081745E-04, 1.7545438E+02, 4.1589997E-07, 1.1138613E-10, 4.1409661E-07, 6.3700542E-12, 1.1922716E-06
    2, 1.0000000E+00, 6.7500000E+00,-7.5189828E+01, 1.4432870E-01, 4.0202979E-01, 1.9747710E-04, 1.7571663E+02, 1.3816950E-07, 2.9332582E-11, 1.1685995E-07, 1.4076426E-12, 3.7021247E-07
    2, 1.0000000E+00, 7.2500000E+00,-7.5278081E+01, 1.4411014E-01, 4.0142102E-01, 4.2095417E-05, 1.7595277E+02, 3.6007826E-08, 6.0657801E-12, 2.4944113E-08, 2.3598693E-13, 8.9605328E-08
    2, 1.0000000E+00, 7.7500000E+00,-7.5355340E+01, 1.4391942E-01, 4.0088974E-01, 6.4177115E-06, 1.7615884E+02, 7.0102480E-09, 9.3768015E-13, 3.8073432E-09, 2.8366584E-14, 1.6138204E-08
    2, 1.0000000E+00, 8.2500000E+00,-7.5420031E+01, 1.4376015E-01, 4.0044610E-01, 6.5262016E-07, 1.7633092E+02, 9.5954919E-10, 1.0204810E-13, 3.8754880E-10, 2.2815494E-15, 2.0427244E-09
    2, 1.0000000E+00, 8.7500000E+00,-7.5470616E+01, 1.4363588E-01, 4.0009995E-01, 4.0653271E-08, 1.7646518E+02, 8.5748335E-11, 7.2729146E-15, 2.4159724E-11, 1.1293479E-16, 1.6952348E-10
    2, 1.0000000E+00, 9.2500000E+00,-7.5505634E+01, 1.4354999E-01, 3.9986071E-01, 1.4024885E-09, 1.7655798E+02, 4.5826323E-12, 3.1166856E-16, 8.3391944E-13, 3.1168695E-18, 8.4916996E-12
    2, 1.0000000E+00, 9.7500000E+00,-7.5523739E+01, 1.4350563E-01, 3.9973714E-01, 2.4172057E-11, 1.7660591E+02, 1.3390459E-13, 7.3463213E-18, 1.4376603E-14, 4.3277621E-20, 2.3572019E-13
