iPrint,time(d),z(cm),h(cm),th(cm^3/cm^3),Sw(-),C(mg/L),Aaw(cm^2/cm^3),Cs1(mg/g),Cs2(mg/g),Caw1(mg/cm^3),Caw2(mg/cm^3),Ctot(mg/cm^3)
    8, 4.0000000E+00, 2.5000000E-01,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 5.2535301E-04, 1.2908719E+02, 3.2367204E-07, 2.5730505E-08, 2.2838531E-07, 1.6949176E-09, 8.9937784E-07
    8, 4.0000000E+00, 7.5000000E-01,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 6.4199688E-04, 1.2908719E+02, 3.8535967E-07, 2.6119457E-08, 2.7909306E-07, 1.6785550E-09, 1.0734528E-06
    8, 4.0000000E+00, 1.2500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 7.7038043E-04, 1.2908719E+02, 4.5159194E-07, 2.6311479E-08, 3.3490410E-07, 1.6602720E-09, 1.2619557E-06
    8, 4.0000000E+00, 1.7500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 9.1035242E-04, 1.2908719E+02, 5.2218565E-07, 2.6359681E-08, 3.9575262E-07, 1.6400979E-09, 1.4645803E-06
    8, 4.0000000E+00, 2.2500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 1.0615662E-03, 1.2908719E+02, 5.9687937E-07, 2.6297271E-08, 4.6148783E-07, 1.6180563E-09, 1.6807378E-06
    8, 4.0000000E+00, 2.7500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 1.2234612E-03, 1.2908719E+02, 6.7533009E-07, 2.6146645E-08, 5.3186604E-07, 1.5941874E-09, 1.9095554E-06
    8, 4.0000000E+00, 3.2500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 1.3952445E-03, 1.2908719E+02, 7.5710898E-07, 2.5923400E-08, 6.0654241E-07, 1.5685615E-09, 2.1498638E-06
    8, 4.0000000E+00, 3.7500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 1.5758699E-03, 1.2908719E+02, 8.4169613E-07, 2.5638875E-08, 6.8506210E-07, 1.5412891E-09, 2.4001802E-06
    8, 4.0000000E+00, 4.2500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 1.7640149E-03, 1.2908719E+02, 9.2847363E-07, 2.5301986E-08, 7.6685017E-07, 1.5125291E-09, 2.6586850E-06
    8, 4.0000000E+00, 4.7500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 1.9580528E-03, 1.2908719E+02, 1.0167164E-06, 2.4920550E-08, 8.5119939E-07, 1.4824979E-09, 2.9231921E-06
    8, 4.0000000E+00, 5.2500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 2.1560177E-03, 1.2908719E+02, 1.1055799E-06, 2.4502212E-08, 9.3725519E-07, 1.4514791E-09, 3.1911083E-06
    8, 4.0000000E+00, 5.7500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 2.3555607E-03, 1.2908719E+02, 1.1940834E-06, 2.4055101E-08, 1.0239964E-06, 1.4198348E-09, 3.4593795E-06
    8, 4.0000000E+00, 6.2500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 2.5538924E-03, 1.2908719E+02, 1.2810878E-06, 2.3588321E-08, 1.1102105E-06, 1.3880176E-09, 3.7244200E-06
    8, 4.0000000E+00, 6.7500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 2.7477105E-03, 1.2908719E+02, 1.3652663E-06, 2.3112380E-08, 1.1944621E-06, 1.3565862E-09, 3.9820196E-06
    8, 4.0000000E+00, 7.2500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 2.9331060E-03, 1.2908719E+02, 1.4450663E-06, 2.2639657E-08, 1.2750519E-06, 1.3262213E-09, 4.2272234E-06
    8, 4.0000000E+00, 7.7500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 3.1054457E-03, 1.2908719E+02, 1.5186596E-06, 2.2184961E-08, 1.3499660E-06, 1.2977457E-09, 4.4541791E-06
    8, 4.0000000E+00, 8.2500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 3.2592259E-03, 1.2908719E+02, 1.5838797E-06, 2.1766267E-08, 1.4168122E-06, 1.2721460E-09, 4.6559433E-06
    8, 4.0000000E+00, 8.7500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 3.3878926E-03, 1.2908719E+02, 1.6381414E-06, 2.1405652E-08, 1.4727416E-06, 1.2505981E-09, 4.8242404E-06
    8, 4.0000000E+00, 9.2500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 3.4836245E-03, 1.2908719E+02, 1.6783397E-06, 2.1130382E-08, 1.5143546E-06, 1.2344953E-09, 4.9491639E-06
    8, 4.0000000E+00, 9.7500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 3.5370758E-03, 1.2908719E+02, 1.7007216E-06, 2.0973667E-08, 1.5375889E-06, 1.2254803E-09, 5.0188073E-06
