time(d),htop(cm),hbot(cm),ctop(mg/L),cbot(mg/L), water_input(cm),ET(cm),water_drainage(cm),water_tot(cm),water_MB_error(%),pfas_in(mg),pfas_decay(mg),pfas_discharge(mg),pfas_tot(mg),pfas_MB_error(%)
 1.0000000E-08,-6.0622189E+01,-6.0622189E+01, 3.7727812E-09, 4.1407000E-28, 4.0000000E-08, 0.0000000E+00, 4.0000000E-08, 1.9190843E+00, 1.1570341E-14, 1.0000000E-11, 0.0000000E+00, 1.6562800E-38, 1.0000000E-11, 3.7973195E-10
 2.0000000E-08,-6.0622189E+01,-6.0622189E+01, 8.2489016E-09, 4.1407000E-28, 8.0000000E-08, 0.0000000E+00, 8.0000000E-08, 1.9190843E+00, 1.1570341E-14, 2.0000000E-11, 0.0000000E+00, 3.3125600E-38, 2.0000000E-11, 7.4192495E-09
 3.5000000E-08,-6.0622189E+01,-6.0622189E+01, 1.5497766E-08, 4.1407000E-28, 1.4000000E-07, 0.0000000E+00, 1.4000000E-07, 1.9190843E+00, 1.1570340E-14, 3.5000000E-11, 0.0000000E+00, 5.7969800E-38, 3.5000000E-11, 5.6714569E-09
 5.7500000E-08,-6.0622189E+01,-6.0622189E+01, 2.7095366E-08, 4.1407000E-28, 2.3000000E-07, 0.0000000E+00, 2.3000000E-07, 1.9190843E+00, 1.1570340E-14, 5.7500000E-11, 0.0000000E+00, 9.5236100E-38, 5.7500000E-11, 4.0023117E-09
 9.1250000E-08,-6.0622189E+01,-6.0622189E+01, 4.5531409E-08, 4.1407000E-28, 3.6500000E-07, 0.0000000E+00, 3.6500000E-07, 1.9190843E+00, 1.1570339E-14, 9.1250000E-11, 0.0000000E+00, 1.5113555E-37, 9.1250000E-11, 2.8193672E-09
 1.4187500E-07,-6.0622189E+01,-6.0622189E+01, 7.4723992E-08, 4.1407000E-28, 5.6750000E-07, 0.0000000E+00, 5.6750000E-07, 1.9190843E+00, 1.1570338E-14, 1.4187500E-10, 0.0000000E+00, 2.3498472E-37, 1.4187500E-10, 2.0086818E-09
 2.1781250E-07,-6.0622189E+01,-6.0622189E+01, 1.2082967E-07, 4.1407000E-28, 8.7125000E-07, 0.0000000E+00, 8.7125000E-07, 1.9190843E+00, 1.1570336E-14, 2.1781250E-10, 0.0000000E+00, 3.6075849E-37, 2.1781250E-10, 1.3084399E-09
 3.3171875E-07,-6.0622189E+01,-6.0622189E+01, 1.9351299E-07, 4.1407000E-28, 1.3268750E-06, 0.0000000E+00, 1.3268750E-06, 1.9190843E+00, 1.1570333E-14, 3.3171875E-10, 0.0000000E+00, 5.4941913E-37, 3.3171875E-10, 8.5914520E-10
 5.0257813E-07,-6.0622189E+01,-6.0622189E+01, 3.0793324E-07, 4.1407000E-28, 2.0103125E-06, 0.0000000E+00, 2.0103125E-06, 1.9190843E+00, 1.1570329E-14, 5.0257813E-10, 0.0000000E+00, 8.3241009E-37, 5.0257812E-10, 5.6706521E-10
 7.5886719E-07,-6.0622189E+01,-6.0622189E+01, 4.8785042E-07, 4.1407000E-28, 3.0354687E-06, 0.0000000E+00, 3.0354687E-06, 1.9190843E+00, 2.3140646E-14, 7.5886719E-10, 0.0000000E+00, 1.2568965E-36, 7.5886719E-10, 3.7557520E-10
 1.1433008E-06,-6.0622189E+01,-6.0622189E+01, 7.7047703E-07, 4.1407000E-28, 4.5732031E-06, 0.0000000E+00, 4.5732031E-06, 1.9190843E+00, 3.4710941E-14, 1.1433008E-09, 0.0000000E+00, 1.8936262E-36, 1.1433008E-09, 2.4928098E-10
 1.7199512E-06,-6.0622189E+01,-6.0622189E+01, 1.2140501E-06, 4.1407000E-28, 6.8798047E-06, 0.0000000E+00, 6.8798047E-06, 1.9190843E+00, 2.3140600E-14, 1.7199512E-09, 0.0000000E+00, 2.8487207E-36, 1.7199512E-09, 1.6568429E-10
 2.5849268E-06,-6.0622189E+01,-6.0622189E+01, 1.9096388E-06, 4.1407000E-28, 1.0339707E-05, 0.0000000E+00, 1.0339707E-05, 1.9190843E+00, 3.4710837E-14, 2.5849268E-09, 0.0000000E+00, 4.2813625E-36, 2.5849268E-09, 1.1021604E-10
 3.8823901E-06,-6.0622189E+01,-6.0622189E+01, 2.9995392E-06, 4.1407000E-28, 1.5529560E-05, 0.0000000E+00, 1.5529560E-05, 1.9190843E+00, 2.3140495E-14, 3.8823901E-09, 0.0000000E+00, 6.4303251E-36, 3.8823901E-09, 7.3400373E-11
 5.8285852E-06,-6.0622189E+01,-6.0622189E+01, 4.7059061E-06, 4.1407000E-28, 2.3314341E-05, 0.0000000E+00, 2.3314341E-05, 1.9190843E+00, 2.3140402E-14, 5.8285852E-09, 0.0000000E+00, 9.6537691E-36, 5.8285852E-09, 4.8891604E-11
 8.7478778E-06,-6.0622189E+01,-6.0622189E+01, 7.3752703E-06, 4.1407000E-28, 3.4991511E-05, 0.0000000E+00, 3.4991511E-05, 1.9190843E+00,-3.4710391E-14, 8.7478778E-09, 0.0000000E+00, 1.4488935E-35, 8.7478778E-09, 3.2560112E-11
 1.3126817E-05,-6.0622189E+01,-6.0622189E+01, 1.1547682E-05, 4.1407000E-28, 5.2507267E-05, 0.0000000E+00, 5.2507267E-05, 1.9190843E+00,-5.7850124E-14, 1.3126817E-08, 0.0000000E+00, 2.1741684E-35, 1.3126817E-08, 2.1646288E-11
 1.9695225E-05,-6.0622189E+01,-6.0622189E+01, 1.8063967E-05, 4.1407000E-28, 7.8780900E-05, 0.0000000E+00, 7.8780900E-05, 1.9190843E+00,-5.7849332E-14, 1.9695225E-08, 0.0000000E+00, 3.2620807E-35, 1.9695225E-08, 1.4468933E-11
 2.9547838E-05,-6.0622189E+01,-6.0622189E+01, 2.8231865E-05, 4.1407000E-28, 1.1819135E-04, 0.0000000E+00, 1.1819135E-04, 1.9190843E+00,-5.7848144E-14, 2.9547838E-08, 0.0000000E+00, 4.8939492E-35, 2.9547838E-08, 9.6072292E-12
 4.4326756E-05,-6.0622189E+01,-6.0622189E+01, 4.4082916E-05, 4.1407000E-28, 1.7730702E-04, 0.0000000E+00, 1.7730702E-04, 1.9190843E+00,-5.7846362E-14, 4.4326756E-08, 0.0000000E+00, 7.3417520E-35, 4.4326756E-08, 6.4535495E-12
 6.6495135E-05,-6.0622189E+01,-6.0622189E+01, 6.8768760E-05, 4.1407000E-28, 2.6598054E-04, 0.0000000E+00, 2.6598054E-04, 1.9190843E+00,-4.6274952E-14, 6.6495135E-08, 0.0000000E+00, 1.1013456E-34, 6.6495135E-08, 4.2855599E-12
 9.9747702E-05,-6.0622189E+01,-6.0622189E+01, 1.0717067E-04, 4.1407000E-28, 3.9899081E-04, 0.0000000E+00, 3.9899081E-04, 1.9190843E+00, 1.1567936E-14, 9.9747702E-08, 0.0000000E+00, 1.6521012E-34, 9.9747702E-08, 2.8349206E-12
 1.4962655E-04,-6.0622189E+01,-6.0622189E+01, 1.6683304E-04, 4.1407000E-28, 5.9850621E-04, 0.0000000E+00, 5.9850621E-04, 1.9190843E+00, 2.3133468E-14, 1.4962655E-07, 0.0000000E+00, 2.4782347E-34, 1.4962655E-07, 1.8605834E-12
 2.2444483E-04,-6.0622189E+01,-6.0622189E+01, 2.5938432E-04, 4.1407000E-28, 8.9777931E-04, 0.0000000E+00, 8.9777931E-04, 1.9190843E+00, 2.3129862E-14, 2.2444483E-07, 0.0000000E+00, 3.7174348E-34, 2.2444483E-07, 1.2305947E-12
 3.3667224E-04,-6.0622189E+01,-6.0622189E+01, 4.0268023E-04, 4.1407000E-28, 1.3466890E-03, 0.0000000E+00, 1.3466890E-03, 1.9190843E+00, 2.3124455E-14, 3.3667224E-07, 0.0000000E+00, 5.5762350E-34, 3.3667224E-07, 8.3340623E-13
 5.0501337E-04,-6.0622189E+01,-6.0622189E+01, 6.2399198E-04, 4.1407000E-28, 2.0200535E-03, 0.0000000E+00, 2.0200535E-03, 1.9190843E+00, 2.3116350E-14, 5.0501337E-07, 0.0000000E+00, 8.3644353E-34, 5.0501337E-07, 5.3823620E-13
 7.5752505E-04,-6.0622189E+01,-6.0622189E+01, 9.6464796E-04, 4.1407000E-28, 3.0301002E-03, 0.0000000E+00, 3.0301002E-03, 1.9190843E+00, 2.3104203E-14, 7.5752505E-07, 0.0000000E+00, 1.2546736E-33, 7.5752505E-07, 3.5882176E-13
 1.1362926E-03,-6.0622189E+01,-6.0622189E+01, 1.4865642E-03, 4.1407000E-28, 4.5451703E-03, 0.0000000E+00, 4.5451703E-03, 1.9190843E+00, 0.0000000E+00, 1.1362926E-06, 0.0000000E+00, 1.8820187E-33, 1.1362926E-06, 2.3149689E-13
 1.7044439E-03,-6.0622189E+01,-6.0622189E+01, 2.2809280E-03, 4.1407000E-28, 6.8177754E-03, 0.0000000E+00, 6.8177754E-03, 1.9190843E+00, 1.1529382E-14, 1.7044439E-06, 0.0000000E+00, 2.8230363E-33, 1.7044439E-06, 1.6461953E-13
 2.5566708E-03,-6.0622189E+01,-6.0622189E+01, 3.4786625E-03, 4.1407000E-28, 1.0226683E-02, 0.0000000E+00, 1.0226683E-02, 1.9190843E+00,-1.1509011E-14, 2.5566708E-06, 0.0000000E+00, 4.2345627E-33, 2.5566708E-06, 1.0974614E-13
 3.8350112E-03,-6.0622189E+01,-6.0622189E+01, 5.2607988E-03, 4.1407000E-28, 1.5340045E-02, 0.0000000E+00, 1.5340045E-02, 1.9190843E+00,-6.8871529E-14, 3.8350112E-06, 0.0000000E+00, 6.3518523E-33, 3.8350112E-06, 9.1454996E-14
 5.7525218E-03,-6.0622189E+01,-6.0622189E+01, 7.8643037E-03, 4.1407000E-28, 2.3010087E-02, 0.0000000E+00, 2.3010087E-02, 1.9190843E+00,-4.5733020E-14, 5.7525218E-06, 0.0000000E+00, 9.5277867E-33, 5.7525218E-06, 7.3163933E-14
 8.6287877E-03,-6.0622189E+01,-6.0622189E+01, 1.1576184E-02, 4.1407000E-28, 3.4515151E-02, 0.0000000E+00, 3.4515151E-02, 1.9190843E+00, 2.2731845E-14, 8.6287877E-06, 0.0000000E+00, 1.4291688E-32, 8.6287877E-06, 1.3006914E-13
 1.2943186E-02,-6.0622189E+01,-6.0622189E+01, 1.6709322E-02, 4.1407000E-28, 5.1772746E-02, 0.0000000E+00, 5.1772746E-02, 1.9190843E+00,-5.6331991E-14, 1.2943186E-05, 0.0000000E+00, 2.1437541E-32, 1.2943186E-05, 3.4685090E-13
 1.9414785E-02,-6.0622189E+01,-6.0622189E+01, 2.3562467E-02, 4.1407000E-28, 7.7659139E-02, 0.0000000E+00, 7.7659139E-02, 1.9190843E+00,-1.3344405E-13, 1.9414785E-05, 0.0000000E+00, 3.2156320E-32, 1.9414785E-05, 8.8157915E-13
 2.9122182E-02,-6.0622189E+01,-6.0622189E+01, 3.2381997E-02, 4.1407000E-28, 1.1648873E-01, 0.0000000E+00, 1.1648873E-01, 1.9190843E+00,-2.1816422E-13, 2.9122182E-05, 0.0000000E+00, 4.8234488E-32, 2.9122182E-05, 3.0445788E-12
 4.3683278E-02,-6.0622189E+01,-6.0622189E+01, 4.3346912E-02, 2.7655664E-26, 1.7473311E-01, 0.0000000E+00, 1.7473311E-01, 1.9190843E+00,-5.3023870E-13, 4.3683278E-05, 0.0000000E+00, 1.6590216E-30, 4.3683278E-05, 3.3400439E-12
 6.5524922E-02,-6.0622189E+01,-6.0622189E+01, 5.6575711E-02, 7.7021156E-18, 2.6209969E-01, 0.0000000E+00, 2.6209969E-01, 1.9190843E+00,-5.4972018E-13, 6.5524922E-05, 0.0000000E+00, 6.7290747E-22, 6.5524922E-05, 2.2266958E-12
 9.8287388E-02,-6.0622189E+01,-6.0622189E+01, 7.2126284E-02, 3.6911735E-12, 3.9314955E-01, 0.0000000E+00, 3.9314955E-01, 1.9190843E+00,-1.8437825E-12, 9.8287388E-05, 0.0000000E+00, 4.8372846E-16, 9.8287388E-05, 2.3294662E-12
 1.0000000E-01,-6.0622189E+01,-6.0622189E+01, 6.9958567E-02, 3.9261203E-12, 4.0000000E-01, 0.0000000E+00, 4.0000000E-01, 1.9190843E+00,-1.8000374E-12, 9.8287388E-05, 0.0000000E+00, 5.1062413E-16, 9.8287388E-05, 2.3294662E-12
 1.0256892E-01,-6.0622189E+01,-6.0622189E+01, 6.7035271E-02, 4.3172668E-12, 4.1027567E-01, 0.0000000E+00, 4.1027567E-01, 1.9190843E+00,-1.7920968E-12, 9.8287388E-05, 0.0000000E+00, 5.5498694E-16, 9.8287388E-05, 2.3637231E-12
 1.0642229E-01,-6.0622189E+01,-6.0622189E+01, 6.3243967E-02, 5.0076338E-12, 4.2568917E-01, 0.0000000E+00, 4.2568917E-01, 1.9190843E+00,-1.8939536E-12, 9.8287388E-05, 0.0000000E+00, 6.3217213E-16, 9.8287388E-05, 2.4322368E-12
 1.1220236E-01,-6.0622189E+01,-6.0622189E+01, 5.8551997E-02, 6.3507590E-12, 4.4880943E-01, 0.0000000E+00, 4.4880943E-01, 1.9190843E+00,-1.8379517E-12, 9.8287388E-05, 0.0000000E+00, 7.7900330E-16, 9.8287388E-05, 2.5806832E-12
 1.2087245E-01,-6.0622189E+01,-6.0622189E+01, 5.3040947E-02, 9.4617339E-12, 4.8348981E-01, 0.0000000E+00, 4.8348981E-01, 1.9190843E+00,-1.8299053E-12, 9.8287388E-05, 0.0000000E+00, 1.1071399E-15, 9.8287388E-05, 2.8090622E-12
 1.3387760E-01,-6.0622189E+01,-6.0622189E+01, 4.6906812E-02, 1.9755290E-11, 5.3551039E-01, 0.0000000E+00, 5.3551039E-01, 1.9190843E+00,-1.7549396E-12, 9.8287388E-05, 0.0000000E+00, 2.1348214E-15, 9.8287388E-05, 3.0260223E-12
 1.5338531E-01,-6.0622189E+01,-6.0622189E+01, 4.0422503E-02, 9.9878122E-11, 6.1354126E-01, 0.0000000E+00, 6.1354126E-01, 1.9190843E+00,-1.4203136E-12, 9.8287388E-05, 0.0000000E+00, 9.9283978E-15, 9.8287388E-05, 3.4827804E-12
 1.8264689E-01,-6.0622189E+01,-6.0622189E+01, 3.3885694E-02, 2.7976536E-09, 7.3058755E-01, 0.0000000E+00, 7.3058755E-01, 1.9190843E+00,-1.0726502E-12, 9.8287388E-05, 0.0000000E+00, 3.3738340E-13, 9.8287388E-05, 1.8886947E-10
 2.2653925E-01,-6.0622189E+01,-6.0622189E+01, 2.7576944E-02, 1.5321753E-07, 9.0615700E-01, 0.0000000E+00, 9.0615700E-01, 1.9190843E+00,-1.9176728E-12, 9.8287388E-05, 0.0000000E+00, 2.7237700E-11, 9.8287361E-05,-3.2863744E-11
