time(d),htop(cm),hbot(cm),ctop(mg/L),cbot(mg/L), water_input(cm),ET(cm),water_drainage(cm),water_tot(cm),water_MB_error(%),pfas_in(mg),pfas_decay(mg),pfas_discharge(mg),pfas_tot(mg),pfas_MB_error(%)
 1.0000000E-08,-9.9999707E+01,-9.9999882E+01, 9.5700000E-04, 3.8700000E-04, 0.0000000E+00, 4.9707659E-11, 6.8285782E-10, 4.1807694E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 2.6426597E-16, 2.7914142E-01, 0.0000000E+00
 2.0000000E-08,-9.9999707E+01,-9.9999882E+01, 9.5700000E-04, 3.8700000E-04, 0.0000000E+00, 9.9414908E-11, 1.3657158E-09, 4.1807694E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 5.2853200E-16, 2.7914142E-01, 1.6468715E-14
 3.5000000E-08,-9.9999708E+01,-9.9999882E+01, 9.5700000E-04, 3.8700000E-04, 0.0000000E+00, 1.7397608E-10, 2.3900026E-09, 4.1807694E+01,-3.3991004E-14, 0.0000000E+00, 0.0000000E+00, 9.2493099E-16, 2.7914142E-01, 1.6468715E-14
 5.7500000E-08,-9.9999708E+01,-9.9999882E+01, 9.5700000E-04, 3.8700000E-04, 0.0000000E+00, 2.8581801E-10, 3.9264330E-09, 4.1807694E+01,-1.6995502E-14, 0.0000000E+00, 0.0000000E+00, 1.5195296E-15, 2.7914142E-01, 3.2937430E-14
 9.1250000E-08,-9.9999708E+01,-9.9999882E+01, 9.5700000E-04, 3.8700000E-04, 0.0000000E+00, 4.5358056E-10, 6.2310787E-09, 4.1807694E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 2.4114275E-15, 2.7914142E-01, 4.9406145E-14
 1.4187500E-07,-9.9999708E+01,-9.9999882E+01, 9.5700000E-04, 3.8700000E-04, 0.0000000E+00, 7.0522466E-10, 9.6880473E-09, 4.1807694E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 3.7492743E-15, 2.7914142E-01, 4.9406145E-14
 2.1781250E-07,-9.9999709E+01,-9.9999882E+01, 9.5700000E-04, 3.8700000E-04, 0.0000000E+00, 1.0826909E-09, 1.4873500E-08, 4.1807694E+01, 3.3991004E-14, 0.0000000E+00, 0.0000000E+00, 5.7560446E-15, 2.7914142E-01, 6.5874860E-14
 3.3171875E-07,-9.9999710E+01,-9.9999882E+01, 9.5700000E-04, 3.8700000E-04, 0.0000000E+00, 1.6488898E-09, 2.2651679E-08, 4.1807694E+01, 1.6995502E-14, 0.0000000E+00, 0.0000000E+00, 8.7661998E-15, 2.7914142E-01, 1.1528100E-13
 5.0257813E-07,-9.9999711E+01,-9.9999882E+01, 9.5700000E-04, 3.8700000E-04, 0.0000000E+00, 2.4981880E-09, 3.4318947E-08, 4.1807694E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 1.3281433E-14, 2.7914142E-01, 1.8115586E-13
 7.5886719E-07,-9.9999713E+01,-9.9999882E+01, 9.5699999E-04, 3.8700001E-04, 0.0000000E+00, 3.7721356E-09, 5.1819850E-08, 4.1807694E+01, 1.6995502E-14, 0.0000000E+00, 0.0000000E+00, 2.0054282E-14, 2.7914142E-01, 2.4703072E-13
