iPrint,time(d),z(cm),h(cm),th(cm^3/cm^3),Sw(-),C(mg/L),Aaw(cm^2/cm^3),Cs1(mg/g),Cs2(mg/g),Caw1(mg/cm^3),Caw2(mg/cm^3),Ctot(mg/cm^3)
    4, 2.9200000E+03, 5.0000000E+00,-1.4679234E+02, 8.1306814E-02, 2.2648138E-01, 5.7106515E-04, 2.6107409E+02, 3.4803998E-07, 7.3040165E-07, 5.0209151E-07, 8.0333893E-08, 2.3834814E-06
    4, 2.9200000E+03, 1.5000000E+01,-1.3815746E+02, 8.3525035E-02, 2.3266026E-01, 1.5794804E-03, 2.5687386E+02, 8.4337363E-07, 1.7579145E-06, 1.3663456E-06, 2.1633552E-07, 5.9469031E-06
    4, 2.9200000E+03, 2.5000000E+01,-1.3425802E+02, 8.4715253E-02, 2.3597564E-01, 3.3965187E-03, 2.5466855E+02, 1.6417696E-06, 3.3740254E-06, 2.9128829E-06, 4.5189522E-07, 1.1813214E-05
    4, 2.9200000E+03, 3.5000000E+01,-1.3392692E+02, 8.4822185E-02, 2.3627350E-01, 6.3449741E-03, 2.5447042E+02, 2.8276561E-06, 5.7248623E-06, 5.4370115E-06, 8.2322487E-07, 2.0713378E-05
    4, 2.9200000E+03, 4.5000000E+01,-1.3606552E+02, 8.4146073E-02, 2.3439018E-01, 1.0706840E-02, 2.5572316E+02, 4.4577732E-06, 8.9291440E-06, 9.2192159E-06, 1.3636509E-06, 3.3264320E-05
    4, 2.9200000E+03, 5.5000000E+01,-1.3881623E+02, 8.3334741E-02, 2.3213020E-01, 1.6808020E-02, 2.5722645E+02, 6.5995151E-06, 1.3098585E-05, 1.4556338E-05, 2.1069944E-06, 5.0112833E-05
    4, 2.9200000E+03, 6.5000000E+01,-1.3985809E+02, 8.3042752E-02, 2.3131686E-01, 2.5015021E-02, 2.5776746E+02, 9.3271159E-06, 1.8325351E-05, 2.1706586E-05, 3.0847093E-06, 7.1859175E-05
    4, 2.9200000E+03, 7.5000000E+01,-1.3891385E+02, 8.3304842E-02, 2.3204691E-01, 3.5697049E-02, 2.5728185E+02, 1.2708747E-05, 2.4686769E-05, 3.0912161E-05, 4.3257886E-06, 9.9054191E-05
    4, 2.9200000E+03, 8.5000000E+01,-1.3705843E+02, 8.3841385E-02, 2.3354146E-01, 4.9161082E-02, 2.5628771E+02, 1.6788940E-05, 3.2217488E-05, 4.2397773E-05, 5.8514098E-06, 1.3210437E-04
    4, 2.9200000E+03, 9.5000000E+01,-1.3503332E+02, 8.4459794E-02, 2.3526405E-01, 6.5658438E-02, 2.5514188E+02, 2.1595109E-05, 4.0936470E-05, 5.6357393E-05, 7.6780058E-06, 1.7131978E-04
    4, 2.9200000E+03, 1.0500000E+02,-1.3311012E+02, 8.5080658E-02, 2.3699348E-01, 8.5391823E-02, 2.5399151E+02, 2.7142184E-05, 5.0843608E-05, 7.2941764E-05, 9.8164769E-06, 2.1690632E-04
    4, 2.9200000E+03, 1.1500000E+02,-1.3135218E+02, 8.5678509E-02, 2.3865880E-01, 1.0851008E-01, 2.5288378E+02, 3.3432710E-05, 6.1918338E-05, 9.2250858E-05, 1.2271824E-05, 2.6895582E-04
    4, 2.9200000E+03, 1.2500000E+02,-1.2975655E+02, 8.6247642E-02, 2.4024413E-01, 1.3508137E-01, 2.5182926E+02, 4.0451131E-05, 7.4088626E-05, 1.1431299E-04, 1.5036890E-05, 3.2735652E-04
    4, 2.9200000E+03, 1.3500000E+02,-1.2830421E+02, 8.6788652E-02, 2.4175112E-01, 1.6510129E-01, 2.5082684E+02, 4.8167659E-05, 8.7275768E-05, 1.3909420E-04, 1.8099125E-05, 3.9188870E-04
    4, 2.9200000E+03, 1.4500000E+02,-1.2697513E+02, 8.7303794E-02, 2.4318606E-01, 1.9848831E-01, 2.4987235E+02, 5.6538206E-05, 1.0138021E-04, 1.6649643E-04, 2.1438313E-05, 4.6219678E-04
    4, 2.9200000E+03, 1.5500000E+02,-1.2575195E+02, 8.7795513E-02, 2.4455575E-01, 2.3501713E-01, 2.4905193E+02, 6.5489127E-05, 1.1627150E-04, 1.9637521E-04, 2.5025633E-05, 5.3775884E-04
    4, 2.9200000E+03, 1.6500000E+02,-1.2462031E+02, 8.8266022E-02, 2.4586636E-01, 2.7444739E-01, 2.4827379E+02, 7.4950069E-05, 1.3177824E-04, 2.2846129E-04, 2.8820012E-05, 6.1785264E-04
    4, 2.9200000E+03, 1.7500000E+02,-1.2356852E+02, 8.8717249E-02, 2.4712326E-01, 3.1641748E-01, 2.4752754E+02, 8.4827999E-05, 1.4772996E-04, 2.6243066E-04, 3.2775284E-05, 7.0164943E-04
    4, 2.9200000E+03, 1.8500000E+02,-1.2258696E+02, 8.9150859E-02, 2.4833108E-01, 3.6043327E-01, 2.4681042E+02, 9.5005831E-05, 1.6388768E-04, 2.9786045E-04, 3.6829077E-05, 7.8804221E-04
    4, 2.9200000E+03, 1.9500000E+02,-1.2166770E+02, 8.9568296E-02, 2.4949386E-01, 4.0587655E-01, 2.4612005E+02, 1.0534535E-04, 1.7998979E-04, 3.3423323E-04, 4.0908796E-05, 8.7573597E-04
    4, 2.9200000E+03, 2.0500000E+02,-1.2080415E+02, 8.9970827E-02, 2.5061512E-01, 4.5200577E-01, 2.4545433E+02, 1.1568788E-04, 1.9575474E-04, 3.7093945E-04, 4.4933320E-05, 9.6325724E-04
    4, 2.9200000E+03, 2.1500000E+02,-1.1999076E+02, 9.0359572E-02, 2.5169797E-01, 4.9794245E-01, 2.4481142E+02, 1.2585152E-04, 2.1085225E-04, 4.0726809E-04, 4.8809904E-05, 1.0488889E-03
    4, 2.9200000E+03, 2.2500000E+02,-1.1922285E+02, 9.0735537E-02, 2.5274523E-01, 5.4267207E-01, 2.4418963E+02, 1.3563139E-04, 2.2492162E-04, 4.4240916E-04, 5.2434397E-05, 1.1307029E-03
    4, 2.9200000E+03, 2.3500000E+02,-1.1849646E+02, 9.1099634E-02, 2.5375943E-01, 5.8503581E-01, 2.4358748E+02, 1.4479760E-04, 2.3754729E-04, 4.7544826E-04, 5.5689437E-05, 1.2065094E-03
