iPrint,time(d),z(cm),h(cm),th(cm^3/cm^3),Sw(-),C(mg/L),Aaw(cm^2/cm^3),Cs1(mg/g),Cs2(mg/g),Caw1(mg/cm^3),Caw2(mg/cm^3),Ctot(mg/cm^3)
    6, 4.3800000E+03, 5.0000000E+00,-1.4110888E+02, 8.2707183E-02, 2.3038213E-01, 2.3399760E-04, 2.5838922E+02, 1.6014985E-07, 3.2801369E-07, 2.0362055E-07, 3.4700133E-08, 1.0519160E-06
    6, 4.3800000E+03, 1.5000000E+01,-1.3467699E+02, 8.4581259E-02, 2.3560239E-01, 6.6590629E-04, 2.5491683E+02, 3.9781581E-07, 8.1596366E-07, 5.7166870E-07, 9.6581170E-08, 2.6993922E-06
    6, 4.3800000E+03, 2.5000000E+01,-1.3251671E+02, 8.5291662E-02, 2.3758123E-01, 1.4741086E-03, 2.5360055E+02, 7.9420618E-07, 1.6196735E-06, 1.2589451E-06, 2.0878888E-07, 5.5208455E-06
    6, 4.3800000E+03, 3.5000000E+01,-1.3370356E+02, 8.4895638E-02, 2.3647810E-01, 2.8409004E-03, 2.5433433E+02, 1.4054628E-06, 2.8438683E-06, 2.4332043E-06, 3.9416761E-07, 9.9822136E-06
    6, 4.3800000E+03, 4.5000000E+01,-1.3732052E+02, 8.3769137E-02, 2.3334022E-01, 4.9509421E-03, 2.5642157E+02, 2.2787204E-06, 4.5882902E-06, 4.2750898E-06, 6.7647745E-07, 1.6538930E-05
    6, 4.3800000E+03, 5.5000000E+01,-1.4090839E+02, 8.2759756E-02, 2.3052857E-01, 8.0282220E-03, 2.5829181E+02, 3.4700160E-06, 6.9530403E-06, 6.9825062E-06, 1.0815518E-06, 2.5686784E-05
    6, 4.3800000E+03, 6.5000000E+01,-1.4170604E+02, 8.2548286E-02, 2.2993952E-01, 1.2345366E-02, 2.5868364E+02, 5.0456961E-06, 1.0035484E-05, 1.0752862E-05, 1.6364568E-06, 3.7945488E-05
    6, 4.3800000E+03, 7.5000000E+01,-1.4020137E+02, 8.2949502E-02, 2.3105711E-01, 1.8188788E-02, 2.5794024E+02, 7.0687381E-06, 1.3926214E-05, 1.5795492E-05, 2.3684694E-06, 5.3831499E-05
    6, 4.3800000E+03, 8.5000000E+01,-1.3794489E+02, 8.3583623E-02, 2.3282346E-01, 2.5836112E-02, 2.5676530E+02, 9.5929073E-06, 1.8702672E-05, 2.2331625E-05, 3.3032400E-06, 7.3831248E-05
    6, 4.3800000E+03, 9.5000000E+01,-1.3567880E+02, 8.4261993E-02, 2.3471307E-01, 3.5556068E-02, 2.5550838E+02, 1.2665069E-05, 2.4429280E-05, 3.0577908E-05, 4.4643665E-06, 9.8390806E-05
    6, 4.3800000E+03, 1.0500000E+02,-1.3360617E+02, 8.4921598E-02, 2.3655041E-01, 4.7604005E-02, 2.5428623E+02, 1.6325348E-05, 3.1155417E-05, 4.0735312E-05, 5.8725114E-06, 1.2790164E-04
    6, 4.3800000E+03, 1.1500000E+02,-1.3174913E+02, 8.5546556E-02, 2.3829124E-01, 6.2213111E-02, 2.5312827E+02, 2.0605819E-05, 3.8913764E-05, 5.2981618E-05, 7.5445972E-06, 1.6268669E-04
    6, 4.3800000E+03, 1.2500000E+02,-1.3008451E+02, 8.6135708E-02, 2.3993234E-01, 7.9582037E-02, 2.5203665E+02, 2.5528289E-05, 4.7714748E-05, 6.7462137E-05, 9.4919365E-06, 2.0297535E-04
    6, 4.3800000E+03, 1.3500000E+02,-1.2858309E+02, 8.6691835E-02, 2.4148144E-01, 9.9868043E-02, 2.5100623E+02, 3.1103818E-05, 5.7550164E-05, 8.4285087E-05, 1.1720681E-05, 2.4890354E-04
    6, 4.3800000E+03, 1.4500000E+02,-1.2721901E+02, 8.7218379E-02, 2.4294813E-01, 1.2317902E-01, 2.5003062E+02, 3.7331857E-05, 6.8391578E-05, 1.0351587E-04, 1.4231010E-05, 3.0050238E-04
    6, 4.3800000E+03, 1.5500000E+02,-1.2597115E+02, 8.7718541E-02, 2.4434134E-01, 1.4953647E-01, 2.4917923E+02, 4.4191894E-05, 8.0188180E-05, 1.2518493E-04, 1.7016356E-05, 3.5768479E-04
    6, 4.3800000E+03, 1.6500000E+02,-1.2482256E+02, 8.8195096E-02, 2.4566879E-01, 1.7892997E-01, 2.4839109E+02, 5.1659109E-05, 9.2864506E-05, 1.4924755E-04, 2.0062294E-05, 4.2023051E-04
    6, 4.3800000E+03, 1.7500000E+02,-1.2375954E+02, 8.8650414E-02, 2.4693709E-01, 2.1127493E-01, 2.4763807E+02, 5.9693955E-05, 1.0632381E-04, 1.7560143E-04, 2.3347277E-05, 4.8778922E-04
    6, 4.3800000E+03, 1.8500000E+02,-1.2277097E+02, 8.9086527E-02, 2.4815189E-01, 2.4639561E-01, 2.4691681E+02, 6.8239101E-05, 1.2043952E-04, 2.0408055E-04, 2.6840227E-05, 5.5985141E-04
    6, 4.3800000E+03, 1.9500000E+02,-1.2184769E+02, 8.9505190E-02, 2.4931808E-01, 2.8402459E-01, 2.4622442E+02, 7.7220442E-05, 1.3505744E-04, 2.3444612E-04, 3.0500762E-05, 6.3574467E-04
    6, 4.3800000E+03, 2.0500000E+02,-1.2098213E+02, 8.9907934E-02, 2.5043993E-01, 3.2379521E-01, 2.4555835E+02, 8.6546176E-05, 1.4999503E-04, 2.6638170E-04, 3.4279129E-05, 7.1462512E-04
    6, 4.3800000E+03, 2.1500000E+02,-1.2016794E+02, 9.0296106E-02, 2.5152119E-01, 3.6523159E-01, 2.4491638E+02, 9.6105241E-05, 1.6503695E-04, 2.9948653E-04, 3.8115124E-05, 7.9545898E-04
    6, 4.3800000E+03, 2.2500000E+02,-1.1939976E+02, 9.0670903E-02, 2.5256519E-01, 4.0774110E-01, 2.4429653E+02, 1.0576625E-04, 1.7993519E-04, 3.3327098E-04, 4.1937902E-05, 8.7701539E-04
    6, 4.3800000E+03, 2.3500000E+02,-1.1867308E+02, 9.1033399E-02, 2.5357493E-01, 4.5060808E-01, 2.4369702E+02, 1.1537660E-04, 1.9440604E-04, 3.6715313E-04, 4.5665452E-05, 9.5785532E-04
    6, 4.3800000E+03, 2.4500000E+02,-1.1798405E+02, 9.1384561E-02, 2.5455309E-01, 4.9299537E-01, 2.4311626E+02, 1.2476302E-04, 2.0813782E-04, 4.0046147E-04, 4.9206758E-05, 1.0363501E-03
    6, 4.3800000E+03, 2.5500000E+02,-1.1732940E+02, 9.1725267E-02, 2.5550214E-01, 5.3394272E-01, 2.4255279E+02, 1.3373128E-04, 2.2078786E-04, 4.3243503E-04, 5.2461713E-05, 1.1106754E-03
    6, 4.3800000E+03, 2.6500000E+02,-1.1670631E+02, 9.2056323E-02, 2.5642430E-01, 5.7237696E-01, 2.4200528E+02, 1.4206794E-04, 2.3198993E-04, 4.6223257E-04, 5.5323533E-05, 1.1788392E-03
    6, 4.3800000E+03, 2.7500000E+02,-1.1611237E+02, 9.2378470E-02, 2.5732164E-01, 6.0712768E-01, 2.4147250E+02, 1.4954305E-04, 2.4135975E-04, 4.8894563E-04, 5.7681024E-05, 1.2387110E-03
    6, 4.3800000E+03, 2.8500000E+02,-1.1554550E+02, 9.2692394E-02, 2.5819608E-01, 6.3695694E-01, 2.4095333E+02, 1.5591517E-04, 2.4851077E-04, 5.1162216E-04, 5.9423640E-05, 1.2880879E-03
    6, 4.3800000E+03, 2.9500000E+02,-1.1500388E+02, 9.2998737E-02, 2.5904941E-01, 6.6059839E-01, 2.4044669E+02, 1.6093787E-04, 2.5306519E-04, 5.2929655E-04, 6.0445710E-05, 1.3247601E-03
