iPrint,time(d),z(cm),h(cm),th(cm^3/cm^3),Sw(-),C(mg/L),Aaw(cm^2/cm^3),Cs1(mg/g),Cs2(mg/g),Caw1(mg/cm^3),Caw2(mg/cm^3),Ctot(mg/cm^3)
   10, 7.3000000E+03, 5.0000000E+00,-1.5599670E+02, 7.9441516E-02, 2.2128556E-01, 4.6137783E-05, 2.2773076E+02, 3.8997967E-08, 7.5117945E-08, 3.5384703E-08, 5.4818787E-09, 2.3019843E-07
   10, 7.3000000E+03, 1.5000000E+01,-1.4338334E+02, 8.2120765E-02, 2.2874865E-01, 1.3419142E-04, 2.2228445E+02, 9.8726368E-08, 1.9048435E-07, 1.0045472E-07, 1.5579884E-08, 5.9760035E-07
   10, 7.3000000E+03, 2.5000000E+01,-1.3924421E+02, 8.3216136E-02, 2.3179982E-01, 3.0337196E-04, 2.2017822E+02, 2.0073877E-07, 3.9067900E-07, 2.2494955E-07, 3.4947197E-08, 1.2473789E-06
   10, 7.3000000E+03, 3.5000000E+01,-1.4065719E+02, 8.2828026E-02, 2.3071874E-01, 6.0382941E-04, 2.2091747E+02, 3.6534909E-07, 7.1253326E-07, 4.4923910E-07, 6.8934468E-08, 2.3219021E-06
   10, 7.3000000E+03, 4.5000000E+01,-1.4474029E+02, 8.1787713E-02, 2.2782093E-01, 1.0925906E-03, 2.2293758E+02, 6.1202704E-07, 1.1960052E-06, 8.2029591E-07, 1.2387736E-07, 3.9752023E-06
   10, 7.3000000E+03, 5.5000000E+01,-1.4692400E+02, 8.1276717E-02, 2.2639754E-01, 1.8434470E-03, 2.2395168E+02, 9.6474223E-07, 1.8874654E-06, 1.3903033E-06, 2.0761746E-07, 6.3882918E-06
   10, 7.3000000E+03, 6.5000000E+01,-1.4560452E+02, 8.1581735E-02, 2.2724717E-01, 2.9544259E-03, 2.2334451E+02, 1.4542003E-06, 2.8384960E-06, 2.2221081E-06, 3.2948894E-07, 9.7768411E-06
   10, 7.3000000E+03, 7.5000000E+01,-1.4283321E+02, 8.2258792E-02, 2.2913313E-01, 4.5371551E-03, 2.2201561E+02, 2.1120995E-06, 4.1047381E-06, 3.3921329E-06, 5.0022439E-07, 1.4380373E-05
   10, 7.3000000E+03, 8.5000000E+01,-1.3996775E+02, 8.3014760E-02, 2.3123889E-01, 6.7177723E-03, 2.2056078E+02, 2.9716566E-06, 5.7447682E-06, 4.9893510E-06, 7.3180992E-07, 2.0460458E-05
   10, 7.3000000E+03, 9.5000000E+01,-1.3737907E+02, 8.3751262E-02, 2.3329042E-01, 9.6377603E-03, 2.1917079E+02, 4.0679148E-06, 7.8188792E-06, 7.1126078E-06, 1.0373026E-06, 2.8296899E-05
   10, 7.3000000E+03, 1.0500000E+02,-1.3510158E+02, 8.4445079E-02, 2.3522306E-01, 1.3452766E-02, 2.1788421E+02, 5.4372423E-06, 1.0387806E-05, 9.8691722E-06, 1.4305920E-06, 3.8183137E-05
   10, 7.3000000E+03, 1.1500000E+02,-1.3309455E+02, 8.5094947E-02, 2.3703328E-01, 1.8330362E-02, 2.1669817E+02, 7.1165815E-06, 1.3511374E-05, 1.3373208E-05, 1.9261047E-06, 5.0420816E-05
   10, 7.3000000E+03, 1.2500000E+02,-1.3131078E+02, 8.5704891E-02, 2.3873229E-01, 2.4446997E-02, 2.1560060E+02, 9.1425810E-06, 1.7246916E-05, 1.7743612E-05, 2.5384376E-06, 6.5312988E-05
   10, 7.3000000E+03, 1.3500000E+02,-1.2971062E+02, 8.6279581E-02, 2.4033310E-01, 3.1984314E-02, 2.1457968E+02, 1.1550688E-05, 2.1647777E-05, 2.3101464E-05, 3.2819865E-06, 8.3156947E-05
