t (d),Precipitation (cm/d),Irrigation (cm/d),ET0 (cm/d),top_BC (cm),bot_BC (cm),Contaminated_water_flux (cm/d),PFAS_mass_flux (mg/d/cm^2)
0.1,0,0,0,-60.622189,-60.622189,0,0.001
2,0,0,0,-60.622189,-60.622189,0,0
3,0,0,0,-60.622189,-60.622189,0,0
4,0,0,0,-60.622189,-60.622189,0,0
5,0,0,0,-60.622189,-60.622189,0,0
