time(d),htop(cm),hbot(cm),ctop(mg/L),cbot(mg/L), water_input(cm),ET(cm),water_drainage(cm),water_tot(cm),water_MB_error(%),pfas_in(mg),pfas_decay(mg),pfas_discharge(mg),pfas_tot(mg),pfas_MB_error(%)
 1.0000000E-08,-6.0622189E+01,-6.0622189E+01, 3.7727812E-09, 4.1407000E-28, 4.0000000E-08, 0.0000000E+00, 4.0000000E-08, 1.9190843E+00, 0.0000000E+00, 1.0000000E-11, 0.0000000E+00, 1.6562800E-38, 1.0000000E-11, 3.7975871E-10
 2.0000000E-08,-6.0622189E+01,-6.0622189E+01, 8.2489016E-09, 4.1407000E-28, 8.0000000E-08, 0.0000000E+00, 8.0000000E-08, 1.9190843E+00, 0.0000000E+00, 2.0000000E-11, 0.0000000E+00, 3.3125600E-38, 2.0000000E-11, 7.4192228E-09
 3.5000000E-08,-6.0622189E+01,-6.0622189E+01, 1.5497766E-08, 4.1407000E-28, 1.4000000E-07, 0.0000000E+00, 1.4000000E-07, 1.9190843E+00, 0.0000000E+00, 3.5000000E-11, 0.0000000E+00, 5.7969800E-38, 3.5000000E-11, 5.6714875E-09
 5.7500000E-08,-6.0622189E+01,-6.0622189E+01, 2.7095366E-08, 4.1407000E-28, 2.3000000E-07, 0.0000000E+00, 2.3000000E-07, 1.9190843E+00, 0.0000000E+00, 5.7500000E-11, 0.0000000E+00, 9.5236100E-38, 5.7500000E-11, 4.0023489E-09
 9.1250000E-08,-6.0622189E+01,-6.0622189E+01, 4.5531409E-08, 4.1407000E-28, 3.6500000E-07, 0.0000000E+00, 3.6500000E-07, 1.9190843E+00, 0.0000000E+00, 9.1250000E-11, 0.0000000E+00, 1.5113555E-37, 9.1250000E-11, 2.8193907E-09
 1.4187500E-07,-6.0622189E+01,-6.0622189E+01, 7.4723992E-08, 4.1407000E-28, 5.6750000E-07, 0.0000000E+00, 5.6750000E-07, 1.9190843E+00, 0.0000000E+00, 1.4187500E-10, 0.0000000E+00, 2.3498472E-37, 1.4187500E-10, 2.0086969E-09
 2.1781250E-07,-6.0622189E+01,-6.0622189E+01, 1.2082967E-07, 4.1407000E-28, 8.7125000E-07, 0.0000000E+00, 8.7125000E-07, 1.9190843E+00, 0.0000000E+00, 2.1781250E-10, 0.0000000E+00, 3.6075849E-37, 2.1781250E-10, 1.3084399E-09
 3.3171875E-07,-6.0622189E+01,-6.0622189E+01, 1.9351299E-07, 4.1407000E-28, 1.3268750E-06, 0.0000000E+00, 1.3268750E-06, 1.9190843E+00, 0.0000000E+00, 3.3171875E-10, 0.0000000E+00, 5.4941913E-37, 3.3171875E-10, 8.5914520E-10
 5.0257813E-07,-6.0622189E+01,-6.0622189E+01, 3.0793324E-07, 4.1407000E-28, 2.0103125E-06, 0.0000000E+00, 2.0103125E-06, 1.9190843E+00, 0.0000000E+00, 5.0257813E-10, 0.0000000E+00, 8.3241009E-37, 5.0257812E-10, 5.6706521E-10
 7.5886719E-07,-6.0622189E+01,-6.0622189E+01, 4.8785042E-07, 4.1407000E-28, 3.0354687E-06, 0.0000000E+00, 3.0354687E-06, 1.9190843E+00, 1.0413291E-13, 7.5886719E-10, 0.0000000E+00, 1.2568965E-36, 7.5886719E-10, 3.7557520E-10
 1.1433008E-06,-6.0622189E+01,-6.0622189E+01, 7.7047703E-07, 4.1407000E-28, 4.5732031E-06, 0.0000000E+00, 4.5732031E-06, 1.9190843E+00, 1.1570314E-13, 1.1433008E-09, 0.0000000E+00, 1.8936262E-36, 1.1433008E-09, 2.4926600E-10
 1.7199512E-06,-6.0622189E+01,-6.0622189E+01, 1.2140501E-06, 4.1407000E-28, 6.8798047E-06, 0.0000000E+00, 6.8798047E-06, 1.9190843E+00, 1.1570300E-13, 1.7199512E-09, 0.0000000E+00, 2.8487207E-36, 1.7199512E-09, 1.6568429E-10
 2.5849268E-06,-6.0622189E+01,-6.0622189E+01, 1.9096388E-06, 4.1407000E-28, 1.0339707E-05, 0.0000000E+00, 1.0339707E-05, 1.9190843E+00, 1.1570279E-13, 2.5849268E-09, 0.0000000E+00, 4.2813625E-36, 2.5849268E-09, 1.1021604E-10
