time(d),htop(cm),hbot(cm),ctop(mg/L),cbot(mg/L), water_input(cm),ET(cm),water_drainage(cm),water_tot(cm),water_MB_error(%),pfas_in(mg),pfas_decay(mg),pfas_discharge(mg),pfas_tot(mg),pfas_MB_error(%)
 1.0000000E-08,-2.9999850E+02,-3.0000000E+02, 3.4642290E-09, 4.1407000E-28, 1.0000000E-08, 2.0998493E-18, 2.2749603E-14, 5.8944146E-01, 0.0000000E+00, 1.0000000E-11, 0.0000000E+00, 9.4199280E-45, 1.0000000E-11, 1.2145750E-10
 2.0000000E-08,-2.9999701E+02,-3.0000000E+02, 7.5182726E-09, 4.1407000E-28, 2.0000000E-08,-1.9962333E-18, 4.5499206E-14, 5.8944147E-01,-1.8835170E-14, 2.0000000E-11, 0.0000000E+00, 1.8839856E-44, 2.0000000E-11, 3.7803010E-09
 3.5000000E-08,-2.9999476E+02,-3.0000000E+02, 1.4035835E-08, 4.1407000E-28, 3.5000000E-08, 4.6488708E-19, 7.9623610E-14, 5.8944148E-01, 0.0000000E+00, 3.5000000E-11, 0.0000000E+00, 3.2969748E-44, 3.5000000E-11, 2.8602241E-09
 5.7500000E-08,-2.9999139E+02,-3.0000000E+02, 2.4395456E-08, 4.1407000E-28, 5.7500000E-08, 8.1697320E-20, 1.3081022E-13, 5.8944151E-01,-1.8835169E-14, 5.7500000E-11, 0.0000000E+00, 5.4164586E-44, 5.7500000E-11, 1.9981775E-09
 9.1250000E-08,-2.9998634E+02,-3.0000000E+02, 4.0761719E-08, 4.1407000E-28, 9.1250000E-08, 5.0233669E-18, 2.0759013E-13, 5.8944154E-01, 0.0000000E+00, 9.1250000E-11, 0.0000000E+00, 8.5956843E-44, 9.1250000E-11, 1.3924584E-09
 1.4187500E-07,-2.9997877E+02,-3.0000000E+02, 6.6520137E-08, 4.1407000E-28, 1.4187500E-07, 4.6944468E-18, 3.2275999E-13, 5.8944159E-01,-1.8835166E-14, 1.4187500E-10, 0.0000000E+00, 1.3364523E-43, 1.4187500E-10, 9.7965598E-10
 2.1781250E-07,-2.9996740E+02,-3.0000000E+02, 1.0695707E-07, 4.1407000E-28, 2.1781250E-07, 6.0437968E-18, 4.9551479E-13, 5.8944167E-01, 0.0000000E+00, 2.1781250E-10, 0.0000000E+00, 2.0517781E-43, 2.1781250E-10, 6.9781759E-10
 3.3171875E-07,-2.9995036E+02,-3.0000000E+02, 1.7031796E-07, 4.1407000E-28, 3.3171875E-07, 8.1548147E-18, 7.5464698E-13, 5.8944178E-01, 0.0000000E+00, 3.3171875E-10, 0.0000000E+00, 3.1247667E-43, 3.3171875E-10, 5.0374721E-10
 5.0257813E-07,-2.9992481E+02,-3.0000000E+02, 2.6945180E-07, 4.1407000E-28, 5.0257813E-07, 6.2689223E-18, 1.1433522E-12, 5.8944195E-01, 0.0000000E+00, 5.0257813E-10, 0.0000000E+00, 4.7342785E-43, 5.0257812E-10, 3.6883177E-10
 7.5886719E-07,-2.9988650E+02,-3.0000000E+02, 4.2436385E-07, 4.1407000E-28, 7.5886719E-07, 6.3161444E-18, 1.7263996E-12, 5.8944221E-01, 0.0000000E+00, 7.5886719E-10, 0.0000000E+00, 7.1485030E-43, 7.5886719E-10, 2.7414677E-10
 1.1433008E-06,-2.9982906E+02,-3.0000000E+02, 6.6617456E-07, 4.1407000E-28, 1.1433008E-06, 3.8727719E-18, 2.6009708E-12, 5.8944259E-01, 0.0000000E+00, 1.1433008E-09, 0.0000000E+00, 1.0769840E-42, 1.1433008E-09, 1.8229476E-10
 1.7199512E-06,-2.9974299E+02,-3.0000000E+02, 1.0432538E-06, 4.1407000E-28, 1.7199512E-06, 3.5325823E-18, 3.9128275E-12, 5.8944317E-01,-1.8835116E-14, 1.7199512E-09, 0.0000000E+00, 1.6201845E-42, 1.7199512E-09, 1.2117655E-10
 2.5849268E-06,-2.9961408E+02,-3.0000000E+02, 1.6307174E-06, 4.1407000E-28, 2.5849268E-06, 4.3147114E-18, 5.8806126E-12, 5.8944403E-01, 0.0000000E+00, 2.5849268E-09, 0.0000000E+00, 2.4349853E-42, 2.5849268E-09, 8.0628105E-11
 3.8823901E-06,-2.9942111E+02,-3.0000000E+02, 2.5451166E-06, 4.1407000E-28, 3.8823901E-06, 6.5542665E-18, 8.8322903E-12, 5.8944533E-01, 0.0000000E+00, 3.8823901E-09, 0.0000000E+00, 3.6571864E-42, 3.8823901E-09, 5.3691667E-11
 5.8285852E-06,-2.9913260E+02,-3.0000000E+02, 3.9671416E-06, 4.1407000E-28, 5.8285852E-06, 9.3880152E-18, 1.3259807E-11, 5.8944728E-01,-1.8834984E-14, 5.8285852E-09, 0.0000000E+00, 5.4904882E-42, 5.8285852E-09, 3.5751986E-11
 8.7478778E-06,-2.9870190E+02,-3.0000000E+02, 6.1766822E-06, 4.1407000E-28, 8.7478778E-06, 1.5737128E-18, 1.9901081E-11, 5.8945020E-01,-1.8834891E-14, 8.7478778E-09, 0.0000000E+00, 8.2404408E-42, 8.7478778E-09, 2.3852357E-11
 1.3126817E-05,-2.9806047E+02,-3.0000000E+02, 9.6069371E-06, 4.1407000E-28, 1.3126817E-05, 4.4731065E-18, 2.9862994E-11, 5.8945457E-01,-1.8834751E-14, 1.3126817E-08, 0.0000000E+00, 1.2365370E-41, 1.3126817E-08, 1.5885077E-11
 1.9695225E-05,-2.9710856E+02,-3.0000000E+02, 1.4927867E-05, 4.1407000E-28, 1.9695225E-05, 9.1029886E-18, 4.4805862E-11, 5.8946114E-01, 0.0000000E+00, 1.9695225E-08, 0.0000000E+00, 1.8552763E-41, 1.9695225E-08, 1.0573451E-11
 2.9547838E-05,-2.9570317E+02,-3.0000000E+02, 2.3174850E-05, 4.1407000E-28, 2.9547838E-05, 7.4851557E-18, 6.7220157E-11, 5.8947100E-01,-1.8834227E-14, 2.9547838E-08, 0.0000000E+00, 2.7833850E-41, 2.9547838E-08, 7.0477743E-12
 4.4326756E-05,-2.9364394E+02,-3.0000000E+02, 3.5946984E-05, 4.1407000E-28, 4.4326756E-05, 7.2124111E-18, 1.0084161E-10, 5.8948577E-01, 0.0000000E+00, 4.4326756E-08, 0.0000000E+00, 4.1755485E-41, 4.4326756E-08, 4.6979862E-12
 6.6495135E-05,-2.9065952E+02,-3.0000000E+02, 5.5712801E-05, 4.1407000E-28, 6.6495135E-05, 1.4317323E-17, 1.5127379E-10, 5.8950794E-01,-1.8833046E-14, 6.6495135E-08, 0.0000000E+00, 6.2637938E-41, 6.6495135E-08, 3.1152724E-12
 9.9747702E-05,-2.8640096E+02,-3.0000000E+02, 8.6281913E-05, 4.1407000E-28, 9.9747702E-05, 1.4662913E-17, 2.2692206E-10, 5.8954120E-01,-1.8831984E-14, 9.9747702E-08, 0.0000000E+00, 9.3961617E-41, 9.9747702E-08, 2.0657561E-12
 1.4962655E-04,-2.8045387E+02,-3.0000000E+02, 1.3353386E-04, 4.1407000E-28, 1.4962655E-04, 1.3680355E-17, 3.4039446E-10, 5.8959107E-01,-5.6491172E-14, 1.4962655E-07, 0.0000000E+00, 1.4094714E-40, 1.4962655E-07, 1.3917750E-12
 2.2444483E-04,-2.7238537E+02,-3.0000000E+02, 2.0654769E-04, 4.1407000E-28, 2.2444483E-04, 1.3260226E-17, 5.1060308E-10, 5.8966589E-01,-5.6484004E-14, 2.2444483E-07, 0.0000000E+00, 2.1142542E-40, 2.2444483E-07, 8.7899619E-13
 3.3667224E-04,-2.6183752E+02,-3.0000000E+02, 3.1936119E-04, 4.1407000E-28, 3.3667224E-04, 9.6959117E-18, 7.6591599E-10, 5.8977812E-01,-5.6473256E-14, 3.3667224E-07, 0.0000000E+00, 3.1714283E-40, 3.3667224E-07, 5.9901073E-13
 5.0501337E-04,-2.4865681E+02,-3.0000000E+02, 4.9373217E-04, 4.1407000E-28, 5.0501337E-04, 1.0671694E-17, 1.1488854E-09, 5.8994646E-01,-3.7638094E-14, 5.0501337E-07, 0.0000000E+00, 4.7571896E-40, 5.0501337E-07, 3.8197407E-13
 7.5752505E-04,-2.3301257E+02,-3.0000000E+02, 7.6352390E-04, 4.1407000E-28, 7.5752505E-04, 8.7743399E-18, 1.7233394E-09, 5.9019897E-01,-3.7621991E-14, 7.5752505E-07, 0.0000000E+00, 7.1358315E-40, 7.5752505E-07, 2.6622260E-13
 1.1362926E-03,-2.1543870E+02,-3.0000000E+02, 1.1817882E-03, 4.1407000E-28, 1.1362926E-03, 4.1122705E-18, 2.5850205E-09, 5.9057774E-01,-3.7597862E-14, 1.1362926E-06, 0.0000000E+00, 1.0703794E-39, 1.1362926E-06, 1.6976439E-13
 1.7044439E-03,-1.9677549E+02,-3.0000000E+02, 1.8324363E-03, 4.1407000E-28, 1.7044439E-03, 3.4617492E-18, 3.8775421E-09, 5.9114589E-01,-3.7561727E-14, 1.7044439E-06, 0.0000000E+00, 1.6055738E-39, 1.7044439E-06, 1.4404209E-13
