t (d),Precipitation (cm/d),Irrigation (cm/d),ET0 (cm/d),top_BC (cm),bot_BC (cm),Contaminated_water_flux (cm/d),PFAS_mass_flux (mg/d/cm^2)
110,0,0,0.063166888,-999999.99,-999999.99,0,0
111,0,0,0.064528108,-999999.99,-999999.99,0,0
112,0,0,0.055725942,-999999.99,-999999.99,0,0
113,0,0,0.040306993,-999999.99,-999999.99,0,0
114,0.292,0,0.162886078,-999999.99,-999999.99,0,0
115,0,0,0.07418001,-999999.99,-999999.99,0,0
116,0,0,0.078787922,-999999.99,-999999.99,0,0
117,0,0,0.060419538,-999999.99,-999999.99,0,0
118,0,0,0.059130448,-999999.99,-999999.99,0,0
119,0,0,0.017962439,-999999.99,-999999.99,0,0
120,0,0,0.055152393,-999999.99,-999999.99,0,0
121,0,0,0.054748776,-999999.99,-999999.99,0,0
122,0,0,0.048327313,-999999.99,-999999.99,0,0
123,0,0,0.050258653,-999999.99,-999999.99,0,0
124,0,0,0.047874821,-999999.99,-999999.99,0,0
125,0,0,0.044078523,-999999.99,-999999.99,0,0
126,0,0,0.020480087,-999999.99,-999999.99,0,0
127,0,0,0.03551803,-999999.99,-999999.99,0,0
128,0,0,0.043180846,-999999.99,-999999.99,0,0
129,0,0,0.038114107,-999999.99,-999999.99,0,0
130,0,0,0.034024559,-999999.99,-999999.99,0,0
131,0,0,0.043717366,-999999.99,-999999.99,0,0
132,0,0,0.040651481,-999999.99,-999999.99,0,0
133,0,0,0.037684603,-999999.99,-999999.99,0,0
134,0,0,0.033209358,-999999.99,-999999.99,0,0
135,0,0,0.03707481,-999999.99,-999999.99,0,0
136,0,0,0.034150176,-999999.99,-999999.99,0,0
137,0,0,0.022520312,-999999.99,-999999.99,0,0
138,0,0,0.034723452,-999999.99,-999999.99,0,0
139,0,0,0.036493761,-999999.99,-999999.99,0,0
140,0,0,0.037052057,-999999.99,-999999.99,0,0
141,0,0,0.049082871,-999999.99,-999999.99,0,0
142,0,0,0.040704112,-999999.99,-999999.99,0,0
143,0,0,0.038143962,-999999.99,-999999.99,0,0
144,0,0,0.040947544,-999999.99,-999999.99,0,0
145,0,0,0.044584537,-999999.99,-999999.99,0,0
146,0,0,0.042261724,-999999.99,-999999.99,0,0
147,0.19,0,0.040327354,-999999.99,-999999.99,0,0
148,0.559,0,0.14084457,-999999.99,-999999.99,0,0
149,0,0,0.196814052,-999999.99,-999999.99,0,0
150,0,0,0.117196642,-999999.99,-999999.99,0,0
151,0,0,0.079805051,-999999.99,-999999.99,0,0
152,0,0,0.053170823,-999999.99,-999999.99,0,0
153,0,0,0.03102903,-999999.99,-999999.99,0,0
154,0,0,0.040312966,-999999.99,-999999.99,0,0
155,0,0,0.047675027,-999999.99,-999999.99,0,0
156,0,0,0.030158149,-999999.99,-999999.99,0,0
157,0,0,0.037447329,-999999.99,-999999.99,0,0
158,0,0,0.03117594,-999999.99,-999999.99,0,0
159,0,0,0.03368359,-999999.99,-999999.99,0,0
160,0,0,0.03030908,-999999.99,-999999.99,0,0
161,0,0,0.020862564,-999999.99,-999999.99,0,0
162,0,0,0.017777978,-999999.99,-999999.99,0,0
163,0,0,0.035393802,-999999.99,-999999.99,0,0
164,0,0,0.020200488,-999999.99,-999999.99,0,0
165,0,0,0.023480699,-999999.99,-999999.99,0,0
166,0,0,0.009340839,-999999.99,-999999.99,0,0
167,0,0,0.034344469,-999999.99,-999999.99,0,0
168,0,0,0.023672583,-999999.99,-999999.99,0,0
169,0,0,0.024392641,-999999.99,-999999.99,0,0
170,0,0,0.005341486,-999999.99,-999999.99,0,0
171,0,0,0.025609549,-999999.99,-999999.99,0,0
172,0,0,0.022817764,-999999.99,-999999.99,0,0
173,0,0,0.022337171,-999999.99,-999999.99,0,0
174,0.05,0,0.073363382,-999999.99,-999999.99,0,0
175,0,0,0.036833634,-999999.99,-999999.99,0,0
176,0,0,0.041623361,-999999.99,-999999.99,0,0
177,0,0,0.02339269,-999999.99,-999999.99,0,0
178,0,0,0.016672924,-999999.99,-999999.99,0,0
179,0,0,0.015440044,-999999.99,-999999.99,0,0
180,0,0,0.026486285,-999999.99,-999999.99,0,0
181,0,0,0.024909912,-999999.99,-999999.99,0,0
182,0,0,0.027995858,-999999.99,-999999.99,0,0
183,0,0,0.017591182,-999999.99,-999999.99,0,0
184,0,0,0.014916161,-999999.99,-999999.99,0,0
185,0,0,0.022733367,-999999.99,-999999.99,0,0
186,0,0,0.021485739,-999999.99,-999999.99,0,0
187,0,0,0.029005467,-999999.99,-999999.99,0,0
188,0,0,0.02405808,-999999.99,-999999.99,0,0
189,0,0,0.016685011,-999999.99,-999999.99,0,0
190,0,0,0.028247235,-999999.99,-999999.99,0,0
191,0,0,0.025910102,-999999.99,-999999.99,0,0
192,0,0,0.020764473,-999999.99,-999999.99,0,0
193,0,0,0.040045638,-999999.99,-999999.99,0,0
194,0,0,0.043064314,-999999.99,-999999.99,0,0
195,0,0,0.018341896,-999999.99,-999999.99,0,0
196,0,0,0.003570825,-999999.99,-999999.99,0,0
197,0,0,0.009828152,-999999.99,-999999.99,0,0
198,0.203,0,0.047149169,-999999.99,-999999.99,0,0
199,0,0,0.13157219,-999999.99,-999999.99,0,0
200,0,0,0.071721102,-999999.99,-999999.99,0,0
201,0,0,0.025269867,-999999.99,-999999.99,0,0
202,0,0,0.027583478,-999999.99,-999999.99,0,0
203,1.016,0,0.080947793,-999999.99,-999999.99,0,0
204,0,0,0.206899492,-999999.99,-999999.99,0,0
205,0.914,0,0.115539476,-999999.99,-999999.99,0,0
206,0,0,0.208959852,-999999.99,-999999.99,0,0
207,0,0,0.115620657,-999999.99,-999999.99,0,0
208,0.711,0,0.086439558,-999999.99,-999999.99,0,0
209,0,0,0.239991247,-999999.99,-999999.99,0,0
210,0.076,0,0.121667735,-999999.99,-999999.99,0,0
211,0.025,0,0.144679838,-999999.99,-999999.99,0,0
212,0.051,0,0.139421375,-999999.99,-999999.99,0,0
213,0,0,0.098689369,-999999.99,-999999.99,0,0
214,0,0,0.099991875,-999999.99,-999999.99,0,0
215,0.025,0,0.108866405,-999999.99,-999999.99,0,0
216,0,0,0.14388193,-999999.99,-999999.99,0,0
217,0,0,0.048897592,-999999.99,-999999.99,0,0
218,0,0,0.076657487,-999999.99,-999999.99,0,0
219,0.025,0,0.062057429,-999999.99,-999999.99,0,0
220,0.229,0,0.119991191,-999999.99,-999999.99,0,0
221,0.178,0,0.170007885,-999999.99,-999999.99,0,0
222,0,0,0.13455293,-999999.99,-999999.99,0,0
223,0,0,0.098453525,-999999.99,-999999.99,0,0
224,1.842,0,0.067985854,-999999.99,-999999.99,0,0
225,0,0,0.195058774,-999999.99,-999999.99,0,0
226,1.232,0,0.217448174,-999999.99,-999999.99,0,0
227,0,0,0.215953383,-999999.99,-999999.99,0,0
228,0.064,0,0.184880468,-999999.99,-999999.99,0,0
229,0.051,0,0.158841242,-999999.99,-999999.99,0,0
230,0.33,0,0.160183163,-999999.99,-999999.99,0,0
231,0,0,0.210275393,-999999.99,-999999.99,0,0
232,0,0,0.195054459,-999999.99,-999999.99,0,0
233,0,0,0.14658373,-999999.99,-999999.99,0,0
234,0.876,0,0.164979706,-999999.99,-999999.99,0,0
235,0.318,0,0.177461454,-999999.99,-999999.99,0,0
236,0,0,0.257375167,-999999.99,-999999.99,0,0
237,0,0,0.221885624,-999999.99,-999999.99,0,0
238,0,0,0.226840452,-999999.99,-999999.99,0,0
239,0,0,0.198449155,-999999.99,-999999.99,0,0
240,0,0,0.198154316,-999999.99,-999999.99,0,0
241,0,0,0.164153941,-999999.99,-999999.99,0,0
242,0,0,0.142204804,-999999.99,-999999.99,0,0
243,0,0,0.102604981,-999999.99,-999999.99,0,0
244,0.025,0,0.092951648,-999999.99,-999999.99,0,0
245,0.229,0,0.171613885,-999999.99,-999999.99,0,0
246,0.051,0,0.147013235,-999999.99,-999999.99,0,0
247,0,0,0.108265032,-999999.99,-999999.99,0,0
248,0.102,0,0.103611449,-999999.99,-999999.99,0,0
249,0,0,0.108849387,-999999.99,-999999.99,0,0
250,0.025,0,0.089170956,-999999.99,-999999.99,0,0
251,0,0,0.112936006,-999999.99,-999999.99,0,0
252,0,0,0.050334088,-999999.99,-999999.99,0,0
253,0,0,0.031548728,-999999.99,-999999.99,0,0
254,0,0,0.055118159,-999999.99,-999999.99,0,0
255,0,0,0.046075786,-999999.99,-999999.99,0,0
256,0,0,0.050736579,-999999.99,-999999.99,0,0
257,0,0,0.047428953,-999999.99,-999999.99,0,0
258,0,0,0.041478422,-999999.99,-999999.99,0,0
259,0,0,0.035038478,-999999.99,-999999.99,0,0
260,0,0,0.036299118,-999999.99,-999999.99,0,0
261,0,0,0.029511631,-999999.99,-999999.99,0,0
262,0.051,0,0.067768687,-999999.99,-999999.99,0,0
263,0,0,0.080106396,-999999.99,-999999.99,0,0
264,0.495,0,0.058957007,-999999.99,-999999.99,0,0
265,0,0,0.131411209,-999999.99,-999999.99,0,0
266,0,0,0.075848935,-999999.99,-999999.99,0,0
267,0,0,0.054424707,-999999.99,-999999.99,0,0
268,0,0,0.046701546,-999999.99,-999999.99,0,0
269,0,0,0.053803729,-999999.99,-999999.99,0,0
270,0,0,0.023546662,-999999.99,-999999.99,0,0
271,0,0,0.031490986,-999999.99,-999999.99,0,0
272,0,0,0.030779287,-999999.99,-999999.99,0,0
273,0,0,0.0270772,-999999.99,-999999.99,0,0
274,0,0,0.038467841,-999999.99,-999999.99,0,0
275,0,0,0.024210824,-999999.99,-999999.99,0,0
276,0,0,0.017578827,-999999.99,-999999.99,0,0
277,0,0,0.017496183,-999999.99,-999999.99,0,0
278,0,0,0.024967273,-999999.99,-999999.99,0,0
279,0,0,0.004499681,-999999.99,-999999.99,0,0
280,0,0,0.012276745,-999999.99,-999999.99,0,0
281,0,0,0.012707986,-999999.99,-999999.99,0,0
282,0,0,0.030638577,-999999.99,-999999.99,0,0
283,0,0,0.018811769,-999999.99,-999999.99,0,0
284,0,0,0.017703578,-999999.99,-999999.99,0,0
285,0,0,0.020685942,-999999.99,-999999.99,0,0
286,0,0,0.022102384,-999999.99,-999999.99,0,0
287,0,0,0.013125628,-999999.99,-999999.99,0,0
288,0,0,0.011757598,-999999.99,-999999.99,0,0
289,0,0,0.011859397,-999999.99,-999999.99,0,0
290,0,0,0.026366537,-999999.99,-999999.99,0,0
291,0,0,0.011962876,-999999.99,-999999.99,0,0
292,0,0,0.023606609,-999999.99,-999999.99,0,0
293,0,0,0.010480419,-999999.99,-999999.99,0,0
294,0,0,0.008029459,-999999.99,-999999.99,0,0
295,0,0,0.013945982,-999999.99,-999999.99,0,0
296,0,0,0.018433493,-999999.99,-999999.99,0,0
297,0,0,0.006779573,-999999.99,-999999.99,0,0
298,0,0,0.006068096,-999999.99,-999999.99,0,0
299,0,0,0.009868603,-999999.99,-999999.99,0,0
