iPrint,time(d),z(cm),h(cm),th(cm^3/cm^3),Sw(-),C(mg/L),Aaw(cm^2/cm^3),Cs1(mg/g),Cs2(mg/g),Caw1(mg/cm^3),Caw2(mg/cm^3),Ctot(mg/cm^3)
    5, 2.5000000E+00, 2.5000000E-01,-5.8194197E+01, 2.0227622E-01, 5.6344350E-01, 1.2114566E-02, 1.1980804E+02, 4.9635279E-06, 7.2619627E-08, 4.8870479E-06, 5.2158265E-09, 1.5536564E-05
    5, 2.5000000E+00, 7.5000000E-01,-5.7696208E+01, 2.0448854E-01, 5.6960597E-01, 1.3853517E-02, 1.1786301E+02, 5.5778888E-06, 6.7308421E-08, 5.4976637E-06, 4.0371104E-09, 1.7519322E-05
    5, 2.5000000E+00, 1.2500000E+00,-5.7200038E+01, 2.0672099E-01, 5.7582447E-01, 1.5241818E-02, 1.1590886E+02, 6.0611442E-06, 5.9795808E-08, 5.9481825E-06, 3.0924625E-09, 1.9060848E-05
    5, 2.5000000E+00, 1.7500000E+00,-5.6705511E+01, 2.0897356E-01, 5.8209904E-01, 1.6172372E-02, 1.1394014E+02, 6.3818379E-06, 5.1340786E-08, 6.2040442E-06, 2.3634964E-09, 2.0052788E-05
    5, 2.5000000E+00, 2.2500000E+00,-5.6212464E+01, 2.1124619E-01, 5.8842950E-01, 1.6652698E-02, 1.1197825E+02, 6.5464253E-06, 4.3470183E-08, 6.2782603E-06, 1.8479934E-09, 2.0519687E-05
    5, 2.5000000E+00, 2.7500000E+00,-5.5720747E+01, 2.1353875E-01, 5.9481547E-01, 1.6796629E-02, 1.0999916E+02, 6.5956238E-06, 3.7283247E-08, 6.2205893E-06, 1.5130780E-09, 2.0600573E-05
    5, 2.5000000E+00, 3.2500000E+00,-5.5240084E+01, 3.9977382E-02, 1.3597749E-01, 1.6845017E-02, 9.8861732E+01, 1.1458582E-06, 5.7674869E-09, 5.6068552E-06, 1.6440149E-09, 8.1821013E-06
    5, 2.5000000E+00, 3.7500000E+00,-5.6365831E+01, 3.9306490E-02, 1.3369555E-01, 1.6416580E-02, 9.9406188E+01, 1.1204608E-06, 5.1158088E-09, 5.4943813E-06, 1.4556192E-09, 7.9983165E-06
    5, 2.5000000E+00, 4.2500000E+00,-5.8004633E+01, 3.8429012E-02, 1.3071093E-01, 1.5571756E-02, 1.0011830E+02, 1.0701248E-06, 4.4826369E-09, 5.2490368E-06, 1.2732976E-09, 7.6218196E-06
    5, 2.5000000E+00, 4.7500000E+00,-6.0675165E+01, 3.7212696E-02, 1.2657380E-01, 1.4354104E-02, 1.0110539E+02, 9.9694212E-07, 3.8567421E-09, 4.8863828E-06, 1.0956062E-09, 7.0729515E-06
    5, 2.5000000E+00, 5.2500000E+00,-6.6221215E+01, 3.5323794E-02, 1.2014896E-01, 1.2772874E-02, 1.0263831E+02, 9.0068276E-07, 3.2264117E-09, 4.4141416E-06, 9.2096330E-10, 6.3576991E-06
    5, 2.5000000E+00, 5.7500000E+00,-8.6186054E+01, 3.2124399E-02, 1.0926666E-01, 1.0785825E-02, 1.0660668E+02, 7.7746916E-07, 2.5712547E-09, 3.8716834E-06, 7.5260953E-10, 5.5059908E-06
    5, 2.5000000E+00, 6.2500000E+00,-8.6271335E+01, 1.2192631E-01, 3.3962761E-01, 8.3093873E-03, 2.0108401E+02, 3.5755072E-06, 1.0703301E-08, 5.6263389E-06, 8.8988321E-10, 1.2475126E-05
    5, 2.5000000E+00, 6.7500000E+00,-8.6091557E+01, 1.2221903E-01, 3.4044297E-01, 6.2374533E-03, 2.0073323E+02, 2.7859221E-06, 7.5023250E-09, 4.2161923E-06, 6.0070251E-10, 9.5240301E-06
    5, 2.5000000E+00, 7.2500000E+00,-8.5935948E+01, 1.2247401E-01, 3.4115324E-01, 4.5088691E-03, 2.0043131E+02, 2.1006392E-06, 5.0842335E-09, 3.0432605E-06, 3.9036930E-10, 7.0218821E-06
    5, 2.5000000E+00, 7.7500000E+00,-8.5804711E+01, 1.2269024E-01, 3.4175555E-01, 3.1204250E-03, 2.0017529E+02, 1.5250307E-06, 3.3203879E-09, 2.1034871E-06, 2.4322485E-10, 4.9732032E-06
    5, 2.5000000E+00, 8.2500000E+00,-8.5698218E+01, 1.2286650E-01, 3.4224652E-01, 2.0636775E-03, 1.9996659E+02, 1.0642680E-06, 2.0852159E-09, 1.3897039E-06, 1.4493266E-10, 3.3783624E-06
    5, 2.5000000E+00, 8.7500000E+00,-8.5617019E+01, 1.2300138E-01, 3.4262223E-01, 1.3123401E-03, 1.9980689E+02, 7.1781576E-07, 1.2623859E-09, 8.8304966E-07, 8.2857950E-11, 2.2144923E-06
    5, 2.5000000E+00, 9.2500000E+00,-8.5561855E+01, 1.2309325E-01, 3.4287813E-01, 8.3130025E-04, 1.9969811E+02, 4.8250521E-07, 7.5623923E-10, 5.5906654E-07, 4.6873582E-11, 1.4477072E-06
    5, 2.5000000E+00, 9.7500000E+00,-8.5533679E+01, 1.2314025E-01, 3.4300905E-01, 5.9309106E-04, 1.9964246E+02, 3.5968988E-07, 5.0712825E-10, 3.9875634E-07, 3.0180388E-11, 1.0578604E-06
