iPrint,time(d),z(cm),h(cm),th(cm^3/cm^3),Sw(-),C(mg/L),Aaw(cm^2/cm^3),Cs1(mg/g),Cs2(mg/g),Caw1(mg/cm^3),Caw2(mg/cm^3),Ctot(mg/cm^3)
    3, 1.5000000E+00, 2.5000000E-01,-4.8069127E+01, 2.5187443E-01, 7.0160010E-01, 1.7674877E-02, 7.8371954E+01, 6.8946574E-06, 5.7683214E-08, 4.6637038E-06, 4.5193997E-09, 2.0431531E-05
    3, 1.5000000E+00, 7.5000000E-01,-4.7600808E+01, 2.5432583E-01, 7.0842851E-01, 2.0432492E-02, 7.6425822E+01, 7.8215383E-06, 5.0268987E-08, 5.2572188E-06, 3.2441035E-09, 2.3264404E-05
    3, 1.5000000E+00, 1.2500000E+00,-4.7131052E+01, 2.5678855E-01, 7.1528845E-01, 2.2189315E-02, 7.4485749E+01, 8.4034537E-06, 4.1169350E-08, 5.5641575E-06, 2.2331358E-09, 2.5003755E-05
    3, 1.5000000E+00, 1.7500000E+00,-4.6659933E+01, 2.5926059E-01, 7.2217436E-01, 2.2840525E-02, 7.2543571E+01, 8.6176115E-06, 3.1728344E-08, 5.5780549E-06, 1.4718710E-09, 2.5573651E-05
    3, 1.5000000E+00, 2.2500000E+00,-4.6187521E+01, 2.6173989E-01, 7.2908049E-01, 2.2463857E-02, 7.0603586E+01, 8.4938381E-06, 2.3475899E-08, 5.3393880E-06, 9.5660601E-10, 2.5077702E-05
    3, 1.5000000E+00, 2.7500000E+00,-4.5713881E+01, 2.6422434E-01, 7.3600095E-01, 2.1289490E-02, 6.8671282E+01, 8.1061827E-06, 1.7437461E-08, 4.9218573E-06, 6.4850662E-10, 2.3764837E-05
    3, 1.5000000E+00, 3.2500000E+00,-4.5264446E+01, 4.9704754E-02, 1.6906379E-01, 1.9596329E-02, 9.2255011E+01, 1.3070516E-06, 2.4191245E-09, 6.0864650E-06, 6.6867071E-10, 9.2217911E-06
    3, 1.5000000E+00, 3.7500000E+00,-4.6226634E+01, 4.8352060E-02, 1.6446279E-01, 1.7562008E-02, 9.3111757E+01, 1.1881746E-06, 1.9257307E-09, 5.5054570E-06, 5.2563434E-10, 8.3188075E-06
    3, 1.5000000E+00, 4.2500000E+00,-4.7620786E+01, 4.6591840E-02, 1.5847565E-01, 1.5273473E-02, 9.4226616E+01, 1.0522686E-06, 1.5104532E-09, 4.8455386E-06, 4.0691517E-10, 7.2963002E-06
    3, 1.5000000E+00, 4.7500000E+00,-4.9898190E+01, 4.4148693E-02, 1.5016562E-01, 1.2806042E-02, 9.5883551E+01, 9.0271722E-07, 1.1571896E-09, 4.1343473E-06, 3.0815477E-10, 6.1914183E-06
    3, 1.5000000E+00, 5.2500000E+00,-5.4702466E+01, 4.0319470E-02, 1.3714106E-01, 1.0215873E-02, 9.8584113E+01, 7.4160117E-07, 8.5308323E-10, 3.3911612E-06, 2.2552926E-10, 5.0283349E-06
    3, 1.5000000E+00, 5.7500000E+00,-7.2615865E+01, 3.3862424E-02, 1.1517831E-01, 7.5298514E-03, 1.0444058E+02, 5.6872839E-07, 5.8275560E-10, 2.6481371E-06, 1.5588785E-10, 3.8426354E-06
    3, 1.5000000E+00, 6.2500000E+00,-7.3115093E+01, 1.4968264E-01, 4.1694329E-01, 4.7461714E-03, 1.7005639E+02, 2.1965009E-06, 1.8660664E-09, 2.7179449E-06, 1.3215106E-10, 7.0052397E-06
    3, 1.5000000E+00, 6.7500000E+00,-7.3115872E+01, 1.4968055E-01, 4.1693747E-01, 2.7392108E-03, 1.7005860E+02, 1.3615913E-06, 9.6319975E-10, 1.5687089E-06, 6.2917853E-11, 4.1956546E-06
    3, 1.5000000E+00, 7.2500000E+00,-7.3116568E+01, 1.4967869E-01, 4.1693227E-01, 1.4349235E-03, 1.7006056E+02, 7.7580689E-07, 4.5860742E-10, 8.2178795E-07, 2.7341516E-11, 2.2995767E-06
    3, 1.5000000E+00, 7.7500000E+00,-7.3117170E+01, 1.4967707E-01, 4.1692777E-01, 6.7509288E-04, 1.7006226E+02, 4.0258620E-07, 1.9945479E-10, 3.8663770E-07, 1.0718443E-11, 1.1430266E-06
    3, 1.5000000E+00, 8.2500000E+00,-7.3117669E+01, 1.4967573E-01, 4.1692404E-01, 2.8140945E-04, 1.7006367E+02, 1.8803439E-07, 7.8244789E-11, 1.6117056E-07, 3.7349616E-12, 5.0935371E-07
    3, 1.5000000E+00, 8.7500000E+00,-7.3118056E+01, 1.4967469E-01, 4.1692115E-01, 1.0218116E-04, 1.7006476E+02, 7.7887049E-08, 2.7251129E-11, 5.8522372E-08, 1.1358348E-12, 2.0058401E-07
    3, 1.5000000E+00, 9.2500000E+00,-7.3118322E+01, 1.4967398E-01, 4.1691916E-01, 3.1851911E-05, 1.7006552E+02, 2.8251435E-08, 8.2932198E-12, 1.8242695E-08, 2.9604496E-13, 6.8988970E-08
    3, 1.5000000E+00, 9.7500000E+00,-7.3118460E+01, 1.4967361E-01, 4.1691813E-01, 9.6316303E-06, 1.7006591E+02, 9.9800209E-09, 2.4194605E-12, 5.5163834E-09, 7.3702246E-14, 2.3199488E-08
